# 远吕羽氏遗事·其一


## Talk 1

放置: 似乎镇物缺少了两个关键部件。
旅行者: （是这个吗？）

## Talk 2

梶: 怎么？这么快就把镇物修复了吗？
旅行者: 还没有。
梶: 哦哦，没关系的，请慢慢来。
旅行者: 还正在努力。
梶: 实在不行的话也请不要勉强，请别在这个危险的地方逗留太久。

## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

观察: 形状奇特的石灯，似乎放射着令人不安的能量。
派蒙: 这个石灯笼好奇怪…让人感觉怪不舒服的。
派蒙: 欸，好像灯柱上写着什么字？
观察: 「路过的旅人，关于此镇物如有疑问，请至无想刃狭间，与梶先生商谈。」
观察: 字看起来很新，似乎是不久前写下的。下面还有几列被雨水洗濯模糊的小字：
观察: 「…请转告梶先生，我们试过…但可惜…或许在附近能找到…」
观察: 「…请梶先生尽快一同来避难地点，他的家人很想他。」
派蒙: 这个梶先生似乎对石灯笼很在意的样子，我们不如去无想刃狭间问问他吧？

### Additional Talk 2

接触镇物: 你注视着镇物，忽然，一股奇特的能量似乎涌向了你。
接触镇物: 你意识到它并非抗拒着你，而是向你要求着什么……
派蒙: 唔…这座镇物好像少了些什么东西，我们去附近找找看吧？
派蒙: 使用元素视野调查一下附近弥散的元素痕迹，说不定能发现什么呢！

### Additional Talk 3

接触镇物: 灯笼终于修好了，似乎周围的天气也发生了变化

### Additional Talk 4

梶: 有一手啊，外国人！云层明显消散了许多，看起来我的猜测没错。
梶: 接下来在蛇神之首与蛇骨矿洞还有两处镇物需要修复。
梶: 如果你不介意的话，这两座镇物也还麻烦你了。
旅行者: 没问题。
梶: 非常感谢你的帮助，虽然我也不是什么有钱人，但我保证不会亏待你的。
梶: 虽然不知道什么时候才有希望，但亲友回家的日子又近了一天…
梶: 顺便一提，等你那边差不多了就到岛西侧找我吧，无明砦那边也曾受到叛军的侵扰，或许与这场异变脱不开干系。
