(Quest is part of chapter: 远吕羽氏遗事)

# 远吕羽氏遗事·其三


## Talk 1

放置: 似乎镇物缺少了两个关键部件。
旅行者: （是这个吗？）

## Talk 2

梶: 怎么？这么快就把镇物修复了吗？
旅行者: 还没有。
梶: 哦哦，没关系的，请慢慢来。
梶: 实在不行的话也请不要勉强，请别在这个危险的地方逗留太久。
旅行者: 还正在努力。

## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

观察: 形状奇特的石灯，似乎放射着令人不安的能量。
派蒙: 这是…石灯笼？为什么这里会有石灯笼呢？
派蒙: 欸，灯柱上被人写了字，我们看看吧？
观察: 「诸位工友，关于此镇物如有疑问，请至无想刃狭间，与梶先生商谈。」
观察: 字迹看起来很新。下面还有几列粗犷的小字：
观察: 「十分抱歉我们也帮不上什么忙，昨日刚刚接到天领奉行大人的紧急疏散令。」
观察: 「希望有缘来日再见，共同商讨解决『祟神』作乱之事。」
派蒙: 这个梶先生似乎对石灯笼很在意的样子，我们不如去无想刃狭间问问他吧？

### Additional Talk 2

派蒙: 这处镇物似乎也少了什么东西…我们用元素视野找找看吧？

### Additional Talk 3

接触镇物: 灯笼终于修好了，似乎周围的天气也发生了变化
