# Talk Activity Group: 5138

## Talk


## Talk

贾米: 唉，下次还是先做好实验预算吧…这次实验给我的教训就是实验项目和日期管理比单纯自己做实验要麻烦多了…
贾米: #怎么样，旅行者，实验的过程还顺利吗？
旅行者: 关于「溢神剂」…
贾米: 「溢神剂」的效果很神奇吧！不过很可惜的是「溢神剂」只能在搭建起来的特殊环境里有效。
贾米: 如果能够扩大泛用性就好了，这样，「溢神剂」一定能变成热门的研究课题，对啊，扩大泛用性…
贾米: 为什么我之前没想到，「溢神剂」还有这样的研究方向，可恶！
贾米: 越想越觉得后悔，为什么我选择了现在的课题啊…
旅行者: 关于研究课题…
贾米: 确实，我之前说得不够明白…没想到你居然真的对这个感兴趣。
贾米: 我现在正进行研究的课题，全称是「生物结构在对敌应激时的生理姿态缺陷研究」。
贾米: 简单来说，就是一些生物在危险环境下，进攻和反抗时作出动作中「破绽」的研究…
贾米: 举个例子就是，当长鬓虎向你扑来的时候，你是否有可能一个滑铲到长鬓虎肚子底下规避攻击…例子很怪，但大体是这种感觉。
贾米: 因为这次需要研究的对象涵盖的活动区域更广，其中又有很多璃月的生物，所以才选择在这里新建实验场地。
旅行者: 还在搜集材料。
贾米: 是、是嘛，希望一切顺利…另外，一定要小心自己的安全啊。
