# Talk Group: NpcGroup - 20476

## Talk

绘真 (？？？): 哇，你们不要过来啊，现在停止借书业务了！
派蒙: 哇，你不要突然大叫啊！我们不是来借书的，我们都看不懂白夜国的文字。
绘真 (？？？): 呼，那我就安心了。
绘真: 自我介绍一下，我的稻妻式名字叫做绘真。我是图书馆的管理员，虽然这也是最后一天了。
派蒙: 最后一天？
绘真: 是啊，明天我们就要全体搬到海平面之上生活了。但是现在还有五本天杀的书没有被追回。
绘真: 我现在可是非常愤怒啊。如果渊下宫的常世大神有知，那它一定会把现在的我留影成「常世之灵」。
绘真: 渊下宫历史里最「愤怒」之人、最「焦虑」之罪人的头衔，非我绘真莫属了。
派蒙: 究竟是丢了什么书啊，能让你焦虑成这样？
绘真: 重要的不是什么书。今天可是白夜国的最后一日欸！
绘真: 作为最后一天值班的管理员，我将会永世留下没有追回借书的污名。
派蒙: （对哦。她的残影永远停留在了最后一天。）
绘真: 呜呜呜，爸爸、妈妈，绘真对不起你们的养育之恩。巫女大人和海祇大御神大人，我辜负了你们的信任。
绘真: 回到海面上之后，我自罚看守「海渊灵草」。对了，如果有轮回转世，我下辈子也想看守「海渊灵草」。
绘真: 只用打发年轻人去跑腿就行的工作，应该就不会背锅了吧。
绘真: 说到打发年轻人跑腿…
派蒙: 糟了！
绘真: 等等等等！不要急着跑啊，看你们的样子反正还挺…忙的？
旅行者: 正是如此。
绘真: 那就更好了。你们既然要满渊下宫跑，顺手帮我看看能不能找回这几本书吧。
绘真: 我其实也没抱什么期待就是了…
派蒙: #旅行者，要不先答应她好了？
派蒙: 反正她体感的这个最后一天，其实也已经持续了…唔…几千年了？
绘真: 目前没有追回的书分别是《常世国龙蛇传》、《白夜国水文考》、《光昼影底集》、宫地那波人的实验记录…
绘真: 啊，第五本丢失的书我们还是有点头绪的。
绘真: 《日月前事》这本书被盗，几个嫌疑人被关押起来了。就在大日御舆下面的悬空牢内。
绘真: 地走官们威胁他们说，如果不老实交代，就把他们永远遗弃在悬空牢里。到时候整个渊下宫可就他们三个活人了。
绘真: 当然，这句话只是吓唬他们的啦。等到明天搬迁之时到了，应该会把他们放出来的。
绘真: 不过你千万别和他们说这话。嫌疑人里面有个叫安贞的家伙，性子老直了，是个不见棺材不掉泪的类型。
派蒙: 听起来是个不好交流的家伙哦…
绘真: 总之你们有空的话，先从这里开始追查吧。

## Talk

绘真: 哦哦，是你们啊。虽然我也没很抱期望啦…
绘真: 未归还图书搜集得怎么样啦？
绘真: 居、居然全部都收集齐了？
绘真: 这四本确实是没有追回的图书没错。但是这本《常世国龙蛇传》是怎么回事？
绘真: 封面也不是渊下宫馆藏的统一封面，里面的字我也看不懂。
派蒙: 没关系啦。其实我们也看不懂渊下宫的文字。但是我们可以保证这就是《常世国龙蛇传》。
绘真: 当真？没骗我？不是凑数？啊，我不是想为难你。可能是焦虑又发作了。你说说这本书讲了什么？
旅行者: 讲了海祇战胜深海龙蜥…
绘真: 那确实是这本书没错了。你都这么说了，我就这么相信吧。
绘真: 呜啊，好开心啊。我就解脱了，终于收集齐了。
绘真: 这样我就不用自谪去看守「海渊灵草」了。决定了，等回到海面上我要去当生鱼料理师傅。
绘真: 明天以后，你们要记得去海祇岛上找我啊。我来给你们露一手。
派蒙: 绘真经常做生鱼肉吗？
绘真: 没有哦，我之前菜刀都没摸过。但是很多鸣神岛传来的料理书只有我看过。现在我说我是白夜国刺身第一人不过分吧。
派蒙: …你小心别切到手了。
绘真: 不多说了，去了海面上，让我秀一手厨艺胜过千言万语。
绘真: 那现在就麻烦你们把书放回那边的书架了。

## Talk

绘真: 有什么想知道的吗？

## Talk

旅行者: 关于《日月前事》
绘真: 那本书比较特殊，不是借了没还，而是被偷走了。
绘真: 《日月前事》是一本夹杂了寓言的编年史，是一等一的禁书。好像还是海祇大御神亲自下令封禁的书籍。
绘真: 和坎瑞亚人有密切接触的三人被怀疑是嫌疑人，囚禁在大日御舆下方的悬空牢内。
绘真: 你可以从他们那里开始调查。

## Talk

旅行者: 关于实验记录
绘真: 这本书我也不清楚，似乎也不是出借图书没有归还。而是应该归辑存档的实验记录，那些研究人员们不愿意上交。
绘真: 没人知道这个研究所一样的地方在哪里。很神秘哦。
绘真: 这么说来，我发现图书馆里的地图多画了一块地区，也很神秘哦。

## Talk

旅行者: 关于《白夜国水文考》
绘真: 伊达这个蠢货！
绘真: 这本书是白夜国望族家的公子借走的，得有好多年了吧。他的鸣神式名字叫做伊达，是欧律达忒之子。
绘真: 他说要修建新时代的深海龙蜥防御工事什么的。其实就是想建迷宫玩吧。
绘真: 啊，真羡慕有钱人家的孩子。

## Talk

旅行者: 关于《常世国龙蛇传》
绘真: 这本书看出借记录，是被一个鸣神岛过来的使节借走了。恐怕已经难以追回了。
绘真: 好像是说他准备带回去改写成传奇小说什么的。

## Talk

旅行者: 关于《光昼影底集》
绘真: 这只是一本猜谜书。巫女们说是适合九岁到十二岁的儿童阅读，但是我觉得好像只适合八岁以下的小孩子。
绘真: 出借人也只是个普通市民。回收这本书需要缘分呢。

## Talk

旅行者: 没别的问题了。
绘真: 突然发现，「没有抱着很大期待地等着您的好消息」，这句话很巧妙。
绘真: 「没有抱着很大期待」不会给对面压力，表明了自己不会失望。
绘真: 「等着您的好消息」又能给对方增加动力。
绘真: 我，其实是个白夜国失落学科修辞学的好苗子！

## Talk

绘真: 是时候考虑一下未来开的餐馆要叫什么名字了。
