# Talk Group: ActivityGroup - 2001

## Talk 0

乔伊斯: 请务必注意安全，不要用手直接触碰陨石。

## Talk 1

阿德勒: 注意距离，闲杂人等不要靠近陨石落点。

## Talk 2

哈特曼: 谢谢你们，我得赶紧回酒庄报个平安！

## Talk 3

苏醒的病患: 哎？我睡着了吗？睡了多久？

## Talk 4

艾德娜: 愿风神护佑你不受陨石的影响。

## Talk 5

云江: 附近巡查的工作就交给我，而对于处理陨石…听说你们才是专业的吧？

## Talk 6

天成: 陨石的事情发生以来，一直在忙前忙后…唔，昏睡过去的人是不是也挺幸福的呢？

## Talk 7

老蔡: 千岩牢固，重嶂不移。如果有发现新的异常情况的话，还请务必告知我一声。

## Talk 8

苏醒的病患: 呼啊…哎？干嘛盯着我看？

## Talk 9

苏醒的病患: 醒了能回家吗？我想回家…

## Talk 10

苏醒的病患: 听说是你们清理了陨石？真厉害呀，年纪轻轻就有一身好本事！

## Talk 11

经纶: 嗨，陨石这种事，我还是第一次见！

## Talk 12

华清: 什么人！…噢，原来是专程来帮忙的冒险家，抱歉。感谢你们能来。

## Talk 13

大黄: 站岗太久，肚子有点饿了呢…

## Talk 14

阿阳: 我发现，要是一直盯着睡着的人看，自己也会越来越困…不不，我可没在偷懒！

## Talk 15

高老六: 一觉睡醒吃碗热乎的，美滋滋！

## Talk 16

查看病患: 眼前的病患似乎还处于昏睡状态。
