# Talk Group: ActivityGroup - 2003

## Talk

旅行者: 你的作业完成得怎么样了？
玛文: 趁着灵感写了一版，但总觉得…有些不好意思…
旅行者: 可以念给我听吗？
玛文: 当然！不要笑话我就行…哈哈。
玛文: 「我与你
星与月
风与云
花与雾
无法分离」
玛文: 怎、怎么样…还行吗？
旅行者: 文笔朴素了些。
玛文: 是啊，我也这么觉得…以后我得多练习练习，争取写出更好的诗送给玛拉。
玛文: 谢谢你们！那我修改一下，等改完再去交作业…温迪老师，请等等我！
旅行者: 感情丰富，行文稍显稚嫩。

## Talk

旅行者: 你的作业完成得怎么样了？
艾伯特: 哦，你说温迪老师的作业啊…
艾伯特: 放心吧，虽然为芭芭拉大人准备礼物是头等大事，但创作饱含情感的诗歌也同样重要。
艾伯特: 那么，就让你听听凝聚了粉丝心意的力作吧！
艾伯特: 「世界上最远的距离
不是生与死的距离
而是我站在教堂窗外
你在窗里」
旅行者: 诗不错，想法一般。
艾伯特: 唉，看来你还是缺乏一些灵性，无法理解我们对芭芭拉大人的崇敬之情…
艾伯特: 不过没关系，日子还长呢。加油，旅行者！
艾伯特: 嗯，等我再斟酌一番，修改出更好的版本，就能交作业给温迪老师了。
旅行者: 下次不要偷看了，好吗？

## Talk

旅行者: 你的作业完成得怎么样了？
艾琳: 是说写给琴大人的情诗吗？我、我有在努力写了！
艾琳: 温迪老师教的是情诗技巧，但我想表达的，更多是憧憬与向往之情。
艾琳: 带着这种心情创作了一首小诗，还没来得及交给老师…唔，可以的话，你要听听吗？
旅行者: 好啊。
艾琳: 「你办公时认真的侧脸
犹如夜空里璀璨的月亮一般
令我陷入梦幻」
艾琳: 怎么样？还可以吗？
旅行者: 很有诚意！
艾琳: 真的吗？太好了，这就是我想达到的效果！
艾琳: 谢谢你，那我再修改一番就去交作业啦！
旅行者: 感情非常饱满呢…

## Talk

旅行者: 再见。
卜劳恩: 再见，有空的话就来挑战一下吧。

## Talk

旅行者: 你知道其他的活动吗？
卜劳恩: 哦，这个可以去找莉兹，风花节期间，她都会向大家介绍好玩的活动。
卜劳恩: 希望你能玩得开心。

## Talk

旅行者: 这里的秘境是？
