# Talk Group: GadgetGroup - 106001

## Talk

梅洛彼得堡公告板: 梅洛彼得堡公告及其他信息均在此发布，勿作他用。
一行小字: 接待员莫莱妮不负责任何有关本板的事务。

## Talk

旅行者: 继续阅读

## Talk

旅行者: 离开

## Talk

公告: 关于生产区劳动纪律，现重申如下。
公告: 禁止携带与生产无关的杂物进入生产区，包括七圣召唤卡牌和小说等。
公告: 按时完成生产任务，并且保证生产质量，必要时接受技术指导。
公告: 爱护设施，禁止偷拿生产材料，禁止对发条机关进行改装。

## Talk

公告: 外部管道检修工作长期开放申请。工作内容及申请条件详询艾蒂安。
补充公告: 有管道检修工作经验者优先。

## Talk

公告: 在墙上乱涂乱画及随意张贴均为明令禁止的行为，违者必究。
补充公告: 对清除特殊涂料有心得者速与莫普瓦联络。

## Talk

公告: 现已停止在晶簇矿坑道的各项作业，并封锁连通路。
公告: 如因公需要开启连通路，应提前七日提交申请，并在技术专家监督下操作传动机阀，以免发生意外。

## Talk

公告: 近期发生多起针对新来者的诈骗事件，目前正在进一步调查中。事件说明将于调查完成后公示。
留言: 「大家一定要当心这些坏人，尤其是新来的。」
留言: 「我认识一个叫德瑟布尔的，据说他很照顾新人！有新来的找他准没错！」

## Talk

公告: 关于近期发生的多起针对新来者的诈骗事件，现将调查结果公布如下。
公告: 犯人德瑟布尔，利用他人同情心，将委托低价外包给他人并从中赚取差价获利。
公告: 此行为严重违反了「特许券流通管理条例」，现决定对德瑟布尔及其同伙进行严厉处罚，特此通告。

## Talk

公告: 外勤检修人员公开遴选现已开始，有意者详询艾蒂安。
公告: 目前已有四组人选参加，后续报名者可独立参加，亦可在协商后加入四组之中任意一组。

## Talk

留言: 「我们队伍想招募几个成熟可靠的合作者，来与我们一同分享冠军的喜悦与战利品。」
留言: 「本招募在游戏结束前一直有效，欢迎有实力的合作者前往雷维处垂询。」

## Talk

公告: 外勤检修人员公开遴选仍在进行，有意报名者详询艾蒂安。
补充公告: 以目前的情况来看，现在报名获选的概率不是完全没有，只是很小，小到几乎没有。

## Talk

公告: 「拳力斗技」是一种健康的运动！
公告: 参加「拳力斗技」、暂借「拳力斗技场」，或只是单纯找人切磋，请至「拳力斗技场」详询罗西莫夫。

## Talk

「三枚券剧团」广告: 「有人说能治疗众多罪恶的只有两贴药，一是时间，二是沉默…」
「三枚券剧团」广告: 当挚爱含恨身陨，自己也被构陷流放之时，她会选择沉默还是爆发？
「三枚券剧团」广告: 在近乎无限的冤仇中，她的命运又会如何沉沦往复？
「三枚券剧团」广告: 三枚券剧团将为您在近期带来《海中山女伯爵》公演，敬请期待。

## Talk

公告: 根据「特许食堂管理条例」，每人每天可免费在布兰处申领美味福利餐一份。
公告: 领取福利餐时需保持秩序，排队领取，违者停餐三日。
留言: 「喂！不是『美味』福利餐吗？我领到的福利餐可一点不美味！我要求解释！」
回复: 「有关福利餐的意见，需在接待处填表上报，本板不受理相关业务。」

## Talk

隐蔽的小字: 「想来点好东西吗？比『破烂骨头商店』还好的，请来『破烂骨头商店』（句号的位置画上了一颗橙色的桔子）」
