# Talk Group: GadgetGroup - 501005

## Talk

「飞行试炼场」公告: 「此处为飞行试炼场，请所有人员严格遵守规则，避免发生不必要的安全事故。」

## Talk

旅行者: 继续阅读

## Talk

旅行者: 离开

## Talk

飞行规定: 「八：非紧急状况下，请遵从地面引导，沿固定飞行路线，以安全速度起降。严禁未经批准的危险动作。」
飞行规定: 「注：『是龙自己干的』不被视为合理的借口。保证飞行安全是绒翼龙的本能，但不一定是人的本能。」

## Talk

「飞行试炼」通知: 「所有准备参加『飞行试炼』的人员需先通过知识考核与身体检查之后，方能获准练习升空。」
「飞行试炼」通知: 「同时，一切的飞行相关的练习均应在教练保护下与监管下进行。未经许可的练习将导致永远失去参加『飞行试炼』的资格。」
「飞行试炼」通知: 「管理员有权中止所有正在进行中的训练，如收到中止信号，请跟随引导立刻返回试炼场。」

## Talk

紧急通知: 「大家听好了，我跟首领已经商量过了，要重新给大家做身体检查。只有那些身体和精神状态足够好的人，才可以复飞！」
紧急通知: 「否则就必须好好待在试炼场附近接受治疗，尤其是那些接触过深渊力量的人，全都必须重新检查！」
紧急通知: 「当然啦，如果你不想接受检查也可以，只要能战胜恰斯卡小姐，我们也可以当你是健康的！」
紧急通知: 「做不到？哈哈，那就别说有的没的了，好好接受治疗！治疗好了，自然会允许你们复飞的。」

## Talk

飞行规定: 「三十四：空中放飞杂物，人生走进牢房。」
飞行规定: 「为了大家的安全，任何人都不许在未经报备的情况下，于试炼场放飞杂物。无论是风筝、气球还是禽类都不行！」
飞行规定: 「之前就有过案例，有人放飞气球影响到了正在飞行的绒翼龙，要不是有飞行队队员正好出手相助，后果肯定不堪想象！」
飞行规定: 「首领也说了，安全第一，不许再发生这种事情。所以大家都必须按照规定执行！」

## Talk

飞行规定: 「五十二：请勿在飞行过程中大喊大叫，或是模仿奇怪的声音。」
飞行规定: 「前者会对他人（或他龙）造成困扰，后者可能会被绒翼龙误认为是某种指令，进而产生不必要的安全隐患。」
飞行规定: 「注：『我这是在唱歌』不被视为发出奇怪声音的合理借口。在这里，『歌』的定义取决于大多数人（或大多数龙）的判断。」

## Talk

飞行规定: 「三十七：为安全起见，请勿携带不具备飞行能力的生物升空。」
飞行规定: 「注：从原理上来说，人类也是一种没有绒羽的、两足直立行走且不具备飞行能力的生物。」
飞行规定: 「再注：『我朋友装备了风之翼，所以她也算是具备飞行能力的生物』不被视为一个合理的借口。」

## Talk

飞行规定: 「二十六：请勿在飞行时随身携带贵重财物，以防不慎坠失。」
飞行规定: 「如若发生类似情况，可向飞行队求助。」
首领留言: 「由于不同物品的搜寻难度存在差异，飞行队也无法保证一定能找回失物，还请大家务必留意，遵守规定。」
