# Talk Group: GadgetGroup - 581005

## Talk 0

「穆胡鲁宝石铺」广告牌: 「欢迎光临『穆胡鲁宝石铺』，本店出售各类饰品、武器与工具，也承接宝石加工委托，还请客人耐心描述您的需求。」

### Talk 0 related talk 0

旅行者: 继续阅读

### Talk 0 related talk 1

旅行者: 离开

## Talk 1

旅行者: 继续阅读

## Talk 2

旅行者: 离开

## Talk 3

店长留言: 「如果没有看中本店提供的宝石造型方案，客人们可以自行提供加工图纸。」
店长留言: 「店长夏温和学徒伊蜜也承接设计订单，视需求复杂程度，需要两周到两个月不等的时间。」
店长留言: 「此外，本店亦会不定期推出由希诺宁小姐亲力切割打磨的特别款宝石，此类宝石数量有限，售完即止。」
店长留言: 「若您有选购意向，请持续关注本店货柜。」

### Talk 3 related talk 0

旅行者: 继续阅读

### Talk 3 related talk 1

旅行者: 离开

## Talk 4

店长留言: 「『穆胡鲁宝石铺百年诚信经营，假一赔十』…这类的固定宣传就不用多说了。」
店长留言: 「上一任的店长说过：『要是在本店买到虚假宣传，品相不好的宝石，您尽管提着锤子，来把店里同款宝石都砸了！』」
店长留言: 「言归正传，要是自备原材料，本店也承接加工服务，可以将宝石雕刻镶边，制作成大部分您想要的款式。」
店长留言: 「只要别提『给我雕个颗粒果』之类的需求，一切都好说！」

### Talk 4 related talk 0

旅行者: 继续阅读

### Talk 4 related talk 1

旅行者: 离开

## Talk 5

店长留言: 「为声援本届『归火圣夜巡礼』的参赛选手，本店将推出限时八折促销活动。」
店长留言: 「促销活动期间，本店的所有利润都将捐赠给代表『回声之子』出战的勇士们，作为支援资金。」
店长留言: 「当然，宝石的加工质量绝不会因为打折而降低，各位大可以放心！」

### Talk 5 related talk 0

旅行者: 继续阅读

### Talk 5 related talk 1

旅行者: 离开
