# Talk Group: NpcGroup - 12859

## Talk

左右加: 两位…你们也来培养蕈兽了 ？
左右加: #即便身手矫健如「三千贼匪七日斩」的旅行者，也会不懈努力…作为正派对手，的确能给人很强的压迫感！
旅行者: 你怎么不结巴了？
派蒙: 对哦，你怎么突然说话这么流利了，难道是不怕我们了吗？
左右加: 呃…唔…嗯…呃…
左右加: 我对你们两位肯定是无比敬重的，但并不代表我会害怕和你们说话。
左右加: 之前说话哆哆嗦嗦，其实原因不在你们，说起来有点复杂…
派蒙: 我明白了！你肯定经常拖稿，所以很怕神子！
派蒙: 神子一站在身边，你就会想起快到截稿日时的恐惧，所以紧张得发抖吧！
旅行者: 呜呜，稿子要写不完了…
左右加: 请，请不要那么大声！
左右加: 就算你的猜测是真的，也请不要直接说出来…
派蒙: 别担心啦，我们口风很严的。
派蒙: 那就请你加油啦，左右加小姐！
旅行者: 这都是什么奇怪的绰号…
左右加: 啊，你们不喜欢吗？
左右加: 作者们吃饭的时候，偶尔会聊到你们，当场给你们起一些称号，每次都有人拍案叫好呢…
派蒙: 我倒是觉得很有意思，不愧是作者们想出来的绰号，确实有小说里重要角色的排场！
派蒙: 左右加小姐也会给蕈兽起这样的名吗？我记得神子的蕈兽，就是左右加小姐起的名。
左右加: 说实话，我本来想起个轻松一点的名字。
左右加: 但八重大人说，「既然要创作热血题材的小说，就要无拘无束，再夸张都没问题。」
旅行者: 佣兵们好像也这样。
派蒙: #也对哦，佣兵们给我和旅行者起的外号，听起来也超级夸张！
派蒙: 「黄金流星」砸下来咯——轰轰！「白银伴星」跟在后面打了个二连击——哐哐！
左右加: 其实，据说「名字」也是一种期望的表达，能让人和事物向着「名字」的寓意演变。
左右加: 名字起的足够威风的话，蕈兽也会在不知不觉中变得很强！
派蒙: 真的吗？那我一定要多叫「咚咚小圆帽」的名字。
派蒙: 这样一来，「咚咚小圆帽」的脑袋，以后敲起来，就真的是「咚咚」声了。
旅行者: 肯定还是「噗噗」。
派蒙: 哼，我们就打个赌吧！
派蒙: 输了的人就要给「咚咚小圆帽」当三天的坐骑哦！
旅行者: 「咚咚」是水泡砸人的动静。
旅行者: 加油啊，左右加！
左右加: 呜呜，虽然只是一句普通的鼓励，但却让我觉得好荣幸！

## Talk

左右加: 两位，你们也来训练了！
旅行者: 训练的进展如何？
左右加: 一切顺利！我的王牌蕈兽「信风舞姬」表现得特别出色！
左右加: 预赛的时候，我几乎完全是靠着「信风舞姬」的力量战胜对手的，这也让我发现了队伍的不足之处。
左右加: 嗯，只有在剧情前期向读者揭示一些隐患，尽早埋下伏笔，才能让后来的转折合情合理，或是让主角的失败更有说服力。
左右加: 预赛对我作为驯兽师这个角色而言的意义，大抵就是这样。
左右加: 从这个角度考虑，「信风舞姬」起到了相当重要的作用，简直就像是主角的模范伙伴！
派蒙: 左右加小姐不知不觉就进入状态了…真厉害！
旅行者: 取材的进展如何？
左右加: 不…不瞒你们说，除了比赛的部分之外，好像就没什么进度了…
左右加: 八重大人嘱咐过我，既然参加了比赛，就应该先揣摩驯兽师的心境，快快进入角色。
左右加: 这样一来，我在每一场比赛中都能收获很多文思。
左右加: 不过，比赛是小说的主题，每次比赛都是重要的章节，但章节之间还需要很多日常情节来进行填充。
左右加: 关于日常情节的部分，目前我只有一份大纲，还完全不知道该怎么细化。
左右加: 如果和八重大人一起去各种地方游玩…或许就会有灵感的！
旅行者: 不会太紧张吗？
派蒙: 就是啊，感觉神子在身边的时候，你都紧张得说不出话了，那一起旅行的时候，还能睡得着吗？
派蒙: 吃饭的时候，会不会连餐具都拿不稳？
左右加: 哪里有这么夸张啊！我也不是时时刻刻都害怕被八重大人催稿的！
左右加: 咳咳…总之作为一个小说作者，和八重大人一起旅行，是最荣幸最快乐的事情！肯定能让我找到足够用上好几年的素材！
旅行者: 加油啊，左右加小姐！
左右加: 实在太感谢了！我的斗志开始燃烧了！

## Talk

左右加: 呜…怎么办啊怎么办啊…明明花了那么多时间来准备，结果第二场比赛就被打垮了！
旅行者: 振作一点…
派蒙: 别太自责了啦，左右加小姐，神子不会怪你的哦！
左右加: 你们两位…你们居然还来安慰我，我配得上这种殊荣吗…
左右加: 不对，等一等！脑袋里突然冒出来好多种展开…精彩的情节自动浮现了出来！
左右加: 你们先不要说话，让我猜测一下，你们之后的台词会是…
左右加: 「你的勇气和意志，我已经见识到了！之后就由我们来代你完成夺冠的愿望！」
旅行者: ？
派蒙: ？
左右加: 好耶，我知道这个地方该怎么写了！配合前期就碰上最强对手的意外，一定很有看点！先牢牢地记在脑袋里吧…
派蒙: 居然和神子说的完全一致，左右加小姐只是自言自语一会儿，就恢复过来了？
旅行者: 我们是不是也该说「好耶」？
派蒙: 嘘，还是不要打扰左右加小姐了，让她安静地理一理思路！
旅行者: （悄悄离开）
左右加: 不过，要是放在小说里，主角刚刚参赛就遭遇重大挫折，反而是出人意料的展开，可以好好摆脱常见的剧情走向…

## Talk

左右加: 怎么会呢…哪里都找不到八重大人…难道是我规划的路线太无趣了吗？
旅行者: 找不到神子？
左右加: 对啊！荒谷小姐也完全没有头绪…你们知道八重大人去哪了吗？
派蒙: 什么情况？我们明明听说，你们和一个佣兵模样的人一起离开了啊？难道后来你们又分头行动了？
左右加: 佣兵？你说的是那位「三十人团」的向导吗？我们只不过是向他问了一下路，请他带我们去了本地知名的餐馆而已。
左右加: 到了餐馆后，那位佣兵就离开了。而八重大人对饭菜里的香料很感兴趣，说是想买点回去当纪念，吃完饭后就去找香料店了…
左右加: 都快三个小时了，还是没见她回来！
旅行者: 才三个小时而已…
派蒙: 吓死我了，你的口吻太严重了啦，好像神子失踪很久了一样！
派蒙: 也许她只是看到了什么有意思的商品，多停留了一会儿呢，你别急嘛！
左右加: 可是，这次须弥之旅的时间是有限的，我想尽量在八重大人身边多待一会儿嘛！这样就能听到更多有用的教诲了…
左右加: 有的时候，八重大人随便发表几句评论，就能让我们这种经验不足的作者受益匪浅，这样的机会可不多！
左右加: 就比如，刚才那个为我们领路的佣兵，我总感觉他的身上好像有一股…肃杀的气息，然后还一直在看我们这边，说不定想打劫我们！
派蒙: 你没犯事，不要怕啦！那个佣兵可能只是在巡逻，巡逻的时候肯定要注意周围的每个人嘛。
左右加: 我不害怕！八重大人好像早就知道他在观察我们了，轻声和我说「如果怀疑自己被人盯上了，就可以用这种方法来改变局面哦…」
左右加: 然后八重大人竟然主动叫住了那个佣兵，让他给我们当向导！那个佣兵也很意外，有一点点慌乱，不过很快就答应了这个要求。
左右加: 离开餐馆后，那个佣兵就再也没有出现过了，好像他的计划被八重大人一下子全都打乱了，再也不敢轻举妄动。
派蒙: 还…还有这种手法？
左右加: 很帅吧！超帅的吧！我也想把这样的情节写进小说里去——
左右加: 主动接触跟踪己方的可疑人物，打破他们的任务环节，逼迫对方调整计划，为自己的行动争取时间…
左右加: 可是之后的剧情要怎么设计呢？如果对方卷土重来呢？八重大人说是去买香料，会不会暗地里反过来追踪那个佣兵去了？
左右加: 好像有思路了！这不就是，出乎对方意料的反将一军吗！在对方调整部署的这段时间里，直接打进对方的据点去！
左右加: 咦？那我完全不应该担心啊！
左右加: 不愧是八重大人，想到这里，我反而兴奋起来了！
旅行者: 冷静一点…
