# Talk Group: NpcGroup - 2046

## Talk

旅行者: 那你在璃月吃什么？
杰里: 幸好我和姐姐的厨艺都还不错，自己做些吃的也还可以…
杰里: …不对！我们旅行的目的是尝遍各地的美食，老是吃自己做的可不行啊！
杰里: 对，要逼迫自己适应…这些松饼是我们早上烤好的，送给你好了。
杰里: 加油，我一定能吃掉这个中原杂碎…我可以的！加油！

## Talk

杰里: 你好，身为一个蒙德人，我对璃月港感觉还是挺不错的，只是饮食方面实在是…

## Talk

杰里: 你们是？
杰里: 我叫杰里，我和姐姐弗莱琪是从蒙德来的旅行美食家，我们的目标是行遍七国、吃遍七国！
杰里: 只是我没想到，我们旅途的第一站就遇到了前所未有的挑战…
杰里: 璃月人实在是太可怕了…

## Talk

杰里: 关于饮食…
杰里: 我最没法接受的，就是那个中原杂碎啊！
杰里: 在我的故乡蒙德，我最喜欢的食物是月亮派。
杰里: 那是一种用时令水果、奶酪片和鸡肉做成的派，再配上一点特色果酒，真是至高无上的美味…
杰里: 我原本以为邻邦的璃月在饮食方面应该和我们的差别不会太大，结果万万没想到璃月人居然会用动物的内脏做食物 ！
杰里: 我还需要点时间做心理准备…呼，呼…

## Talk

杰里: 祝你有个好胃口。
杰里: 愿风神祝福你…
杰里: 唉，难道我们的七国美食之旅在第一站就会迎来终点吗…？
