# Talk Dialog

闲云: 是你们啊。难得来一回，坐吧，喝茶。
旅行者: 您现在是师祖了？
派蒙: 对喔，按仙人的时间观念，你收漱玉为徒应该是不久前的事？现在漱玉也有徒弟了！
闲云: 呵呵，是那小友太过讲礼，谁教他事理，他便认谁做师父。
闲云: 本仙的本意，是让漱玉有个玩伴。
闲云: 往常在璃月港转悠时，本仙也有察觉，漱玉的同龄人都有朋友，闲时有人聊聊天，遇见趣事有人同乐，自然是好事。
闲云: 但奥藏山毕竟不是市井之地，鲜有凡人近前，更不必说漱玉这个年纪的孩子。有时本仙也会担心，漱玉可曾被孤单困扰。
闲云: 那小友恭恭敬敬来访，与漱玉聊得还算投机，倒是令本仙欣喜。
闲云: 略有遗憾的是，那小友太过专注，从未主动谈及精进斗虫和机关术之外的事…
派蒙: 确实，除去斗虫，「花角玉将」能和我们聊的东西也不多吧，他就像是那种…「职业选手」？
闲云: 心无旁骛修习本领，值得褒扬，那便让漱玉领他入门，着眼于「花羽叶月神机」这类能在斗虫游艺派上用场的小机关。
闲云: 坊间有个说法是，教导他人，也是对自身学识的一种检验。如此一来，漱玉既有人闲聊，又能巩固所学本领，一举两得。
闲云: 我当这「师祖」倒也挺好。
旅行者: 关于学习机关术…
闲云: 怎么，你们也来兴趣了？
派蒙: 只是有些好奇，之前也见过不少你发明的机关嘛。想要学这种本领，难吗？
闲云: 仙家机关所循之理，所用之材，所需之能，皆有严苛要求。凡间工匠若想拟造，难如登天。
闲云: 见闻广博如你们，一时大概也难以理解…诸如「动源枢件」、「动力传导」、「机件循复」之类的概念。
旅行者: 术语听着就头疼…
派蒙: 两三个词就让我害怕了，果然关于机关的东西都很复杂！
闲云: 无妨，术业有专攻，本仙尚未见过样样精通的全才。
闲云: 不过，刚才正好提到了机关术的路线…那位小友也算是特例了。
闲云: 他自然无法运用仙力，唯有先学凡间工匠的理论，打好基础，日后造出凡间尖端水准的机关后，再置入仙家的动力核心。
闲云: 如此一来，或许能达成他追求的指标。
闲云: 学习纯粹的仙术，若非奇才，定需百年起步。以凡间工匠之法，结合仙力核心，造出他所想的机关，也需三五十年的攻读。
派蒙: 三五十年…三五十年？每天都学吗？
闲云: 呵！唯有静心苦读之人，才能通悟真知灼见！
闲云: 说来，本仙也无法想象，你们乖乖坐在学堂里，日复一日攻读课本的场景。
旅行者: 我现在暂时也没法想象…
派蒙: 没错，世界上还有许多地方等着我们呢…制作机关这种复杂的事，就交给又厉害又有耐心的人吧！
派蒙: 至于「花角玉将」…希望他是个天才，快快学好机关术，别让一斗等到头发都白…
派蒙: 不对，一斗的头发不本来就是白的吗！
旅行者: 我还是喜欢旅行和冒险！
旅行者: 不造东西真不熟…
旅行者: 好耶，是仙家好茶！
派蒙: 嘿嘿，多谢留云仙人！
闲云: 呵呵，不必与本仙客气。
黑屏文本: 和派蒙一同享用了闲云烹煮的好茶，只觉心旷神怡，疲惫一扫而空…
