# Talk Dialog

旅行者: 你刚在自言自语什么？
薇尔: 哦，莎拉最近想进口点璃月原产辣椒，据说是能让蒙德最爱吃辣的芭芭拉都辣哭的品种。
薇尔: 要我说，不符合86%的蒙德人的口味，费大半天力气进口了也很难卖出去吧。
旅行者: 芭芭拉喜欢吃辣？
薇尔: 啊？原来你不知道吗？我以为全蒙德的人都知道呢。
旅行者: 请多说些「全蒙德知道」的事…
薇尔: 嗯…大家都知道图书馆的丽莎小姐有喝下午茶的习惯吧？
薇尔: 有一天，一位来自璃月的行商小贩，见到丽莎在用一种特殊的细腻网状物滤去茶渣。
薇尔: 虽说他当时并没看清丽莎用的是什么，但还是仿照着丽莎的制作手法，推出了名为「丝袜伯爵茶」的饮品。
薇尔: 即便事后有人推断，丽莎滤去茶渣所用的，只是一种常见的炼金滤材而已…但真相是什么连我也不知道了。
薇尔: 至少这种命名暧昧的茶饮料，在很长一段时间内流行了起来，哪怕是在偏重酒文化的蒙德。
薇尔: 不得不佩服璃月人的商业头脑，总是可以创造出令部分人无法抗拒的噱头呢…嗯…
旅行者: 你可以劝劝她。
薇尔: 我劝过了，并没有用。
薇尔: 如果还想不出办法，就只能动用「那个男人」了。
薇尔: 常识来讲，以凯亚的话术，稍微旁敲侧击一下就搞定了吧。
薇尔: 咳咳，总之，谢谢你的关心了。
