# Talk Dialog

钟离: 哦？你来了。
钟离: 抱歉，刚才被其他事情吸引了注意力。
旅行者: 你在看什么？
钟离: 寒锋铁器是百年老店，经几代人传承，已算得上是璃月排得上号的铁匠铺了。
钟离: 锻造一事讲究「精」与「勤」。锻打武器，处理矿石，都是极费耐心的功夫活。
钟离: 打铁发出的响声对常人来说噪杂刺耳，但在享受这份技艺的人耳中，则是足以令人屏息凝神的钟声。
钟离: 听见金属击打的声音，会不自觉地静心、平气、专神。摒除杂念，全情投入。
旅行者: 听说你也擅长锻造兵器。
钟离: 与其说是擅长，不如说是情势所至。战乱时代，兵器是必备必争之物。
钟离: 璃月地脉灵妙，能出产各类珍奇矿石。名工宝器应之而生，本是合情理之事。
钟离: 不过我始终认为，巧工高于奇石。真正的名匠，绝不会拘泥于稀有矿石。
旅行者: 关于璃月的名匠…
钟离: 旅行者，你来璃月这么久，可曾听过昆家与云家？
钟离: 昆家是历史悠久的锻冶世家，现今仍有后人传承本家的手艺。
钟离: 云家则不局限于这一行，开枝散叶，分去了各行各地。云家后人沿袭「精益求精」的家训，已在其他不少行业崭露头角。
旅行者: 说起来，云堇莫非是…
钟离: 原来你也认识云先生。璃月名角云堇先生，确实是云家的后人。
钟离: 她家祖辈转行早，父辈一脉专研戏曲。久而久之，人们忘记云家的往事，就无法将她家与锻造业联系在一起了。
钟离: 家族演变乃是璃月历史的重要构成。来璃月一趟，若有闲暇，不妨听听这些人文故事。
旅行者: 看来我需要了解更多。
钟离: 读书是个好办法。
钟离: 虽说书籍内容也会随时代变更出现偏差，但书是人的镜子，读书是上等的消遣，总是有些益处的。
