# Talk Dialog

努查赫: 啊呀，那位打进四强的选手…明明不属于生论派，却能和蕈兽配合成这样？传说中的学生，果然没法用常理去揣测呢！
旅行者: 传说中的学生？
努查赫: 啊呀，这不是鼎鼎大名的「黄金流星」和「白银伴星」吗？
努查赫: 你们刚刚还和她友好比试了一场，怎么反倒来问我？
派蒙: 难道你说的是…莱依拉？
派蒙: 咦，莱依拉还有这种称号吗？能不能请你稍微解释一下…
努查赫: 原来你们也不太了解她啊，我就更不用说了，只听说了一点点未经证实的传闻…
努查赫: 传说中，那位学生会在深夜出没于各种地方，认真地观测星象。她转移观测阵地的动作迅速、利落，甚至能轻松长途跋涉…
派蒙: 好奇怪！怎么想都是看错了吧！
派蒙: 莱依拉平时的体力不太好，怎么想都做不到那种事吧。
努查赫: 我只是原样说出了传闻而已，对它的准确度概不负责哦。你如果更了解她，就请向我说明真实情况吧。
旅行者: 不告诉你。
派蒙: 对哦，不经本人同意就向别人转述她的情况，绝对不合适…你要是想知道的话，就自己去和莱依拉交朋友嘛。
努查赫: 哈哈哈，你们很有义气很讲礼貌嘛！
努查赫: 对我来说，真的也好假的也罢，都只是茶余饭后的闲谈罢了，没必要付出太多时间去证实。
努查赫: 须弥这么大，她和我不属于同一个学派，反正以后也不会有什么交集。这场比赛结束后，我们肯定也没有任何交集了…
派蒙: 话倒是没说错，不过总感觉有点无情…
旅行者: 你自己去了解。
旅行者: 再见。
努查赫: 可能不会再见了哦，两位忙碌的冠军候选人。
