# Talk Dialog

旅行者: 在这里还习惯吗？
希诺宁: 挺不错的。我还是第一次住在一盏壶里，和在部族里的感觉完全不一样，感觉很新奇。
旅行者: 希诺宁最喜欢哪个部族的环境？
希诺宁: 最喜欢？嗯…要是我爸在这里，听我说这话，肯定又要瞪我…
希诺宁: 我最喜欢的其实是玛拉妮那边的「流泉之众」啦。
希诺宁: 每天都可以泡温泉，空气也很湿润，有很多好喝的饮料，还有专门的首饰店和唱片店。
希诺宁: 无论从哪个角度来说，都很适合悠闲地生活啊…
希诺宁: 基尼奇那边的「悬木人」也不错，他们的帐篷都建得很高，只要躺在里面就能吹到很清爽的风。
希诺宁: 偶尔还能蹦个极啦，滑个草啦之类的…
旅行者: 不然，去其他部族里住一住？
希诺宁: 这个啊…哎呀，我其实试过啦。
希诺宁: 之前玛拉妮就邀请我去她家参加聚会，顺便留我在家里住了好几天。
希诺宁: 最开始我住得可舒服了，每天泡泡温泉，喝喝饮料，再和玛拉妮出去闲逛…
希诺宁: 但是…怎么说呢，越住我越…那个，怎么说呢…越住越不踏实。
希诺宁: 也不是住腻了，就是越来越想回「回声之子」去看看。
希诺宁: 到最后，我满脑子都是工坊里的事务，就匆匆向玛拉妮告别，回了部族里。
希诺宁: 也不知道为什么，一回到工坊…不，一进部族里，看见红色的峭壁时，我的心一下子就踏实了。
旅行者: 看来希诺宁还是最喜欢「回声之子」呢。
希诺宁: 是吗？我自己倒是没什么感觉…
希诺宁: 不过，我真的想再去「流泉之众」度个假啊…唉，过几天去问问玛拉妮吧。
