# Talk Dialog

琴: 夜晚的海面真漂亮…
旅行者: 要不要聊聊天？
琴: 好啊，旅行者，你想聊些什么？
旅行者: 关于骑士团的工作…
琴: 工作的话，有丽莎在就没问题。她认真起来比谁都尽责尽力。
琴: 不过，这次给她添了不少麻烦，我总有些过意不去…
琴: 嗯，果然还是应该送些礼物给她。幸好，丽莎的喜好我还是很了解的。
旅行者: 关于海岛…
琴: 我是第一次来到这样的岛屿。这一带给我的感觉十分奇特…明明存在着未知与危险，却因为神秘而显得美丽。
琴: 那是种难以言说的魔力。来到这里以后，我逐渐理解那些追求未知之地的冒险家们了。
琴: 旅行者，你也是冒险家，一定能明白此刻我的心情吧？
琴: 当然了，无论如何都请注意安全。
旅行者: 关于琴自己…
琴: 其实，我刚刚发现…我好像有些…缺乏娱乐精神？
琴: 抱歉，我不知道该怎么说…旅行者，我想问你一个问题。
旅行者: 好的。
琴: 我这个人，是不是太严肃了？
琴: 所以大家才会希望我多休息、多放松吧…实在是非常抱歉。
旅行者: 不，琴就是这点最可爱。
琴: 哎？我…我这样的性格也能被称为可爱吗…
琴: 谢谢你总是用温柔的话安慰我，旅行者。
琴: 不管怎么说，大家的意思我明白了。我会努力调整自己。
旅行者: 关于今天发生的事…
琴: 确实没想到大家都到这里来了…
琴: 我不知道这样想是否正确，但…我觉得可莉会很开心。
琴: 她喜欢热闹，乐意与人交往。玩乐的事就交给她了，我来负责大家的安全。
琴: 呼…景色真美啊。但愿每个人都能在大海的陪伴下寻得快乐与平静。
旅行者: 先不打扰你了。
琴: 好的，晚安。
