# Talk Dialog

旅行者: 有什么想做的吗？
梦见月瑞希: 平日闲暇时，我喜欢放下杂念，听听「诗琴」或者「悠可琴」演奏的音乐。
梦见月瑞希: 许多乐手会用它们独奏。我觉得它们的听感很甜美，与纯净而柔和的美梦有着相似之处…
梦见月瑞希: 相比之下，最近有些新兴的音乐加入了「咚咚锵锵」的鼓点，或者质感很硬朗的…七弦琴？
梦见月瑞希: 它们就更像是那些激烈张扬的梦境了。富有活力，热情奔放，但听久了，难免会有点累…甚至晕头转向的。
梦见月瑞希: 是因为我的感性较为容易被音乐激发出来吗？还是音乐这一领域同样能够折射出我对「味道」的偏好呢？
梦见月瑞希: 思索并审视「自己」的过程，对我来说同样也是重要的。
梦见月瑞希: 说起来，我一直没能腾出空来学习乐器演奏…你了解这方面的知识吗？
旅行者: 那当然，我可是乐器高手！
旅行者: 想要学乐器，我可以教你！
梦见月瑞希: 难怪，有时你会散发出一种吟游诗人般的气场，说话时还隐隐有种音律和顿挫…
梦见月瑞希: 如果跟着你学习的话，整个学习的过程都会变成疗愈之旅吧…
梦见月瑞希: #那就请多指教了，旅行者老师~
梦见月瑞希: 如果我学得很慢，请对我耐心一点哦。
旅行者: 我也不熟，但我们可以一起学。
旅行者: 我知道一些学习的门路…
梦见月瑞希: #好哦，那就交给你啦，旅行者。
梦见月瑞希: 与伙伴一同学习新事物，一定是段难忘的经历。希望我们都能尽快上手，顺利演奏自己中意的曲目…
梦见月瑞希: 我很期待属于我们的音乐融合出曼妙的风味。
梦见月瑞希: #今后请多指教啦，旅行者同学~
