# Talk Dialog

芭芭拉: 荣誉骑士，来得正好，要一起欣赏海景吗？
旅行者: 要不要聊聊天？
芭芭拉: 好啊好啊，有什么想聊的话题吗？
旅行者: 关于羽球…
芭芭拉: 你或许听说过，我们蒙德城有个传统节日，叫做「羽球节」。
芭芭拉: 每到节日，人们就会投掷色彩绚丽的羽球，以这种仪式来传递喜悦并纪念风神。是个老少咸宜的节日哦！
芭芭拉: 可莉很喜欢羽球节，不过现在还不是时候…所以，我就做了特制羽球给她。
芭芭拉: 希望可莉能开心起来。她的笑容很有感染力，我一看见她开心的样子，也会忍不住笑哦。
旅行者: 关于海岛…
芭芭拉: 虽然姐姐经常叫大家保持警惕，但对我来说，这座海岛还挺有趣的呢。
芭芭拉: 夏天能看见星星的夜晚，像这样坐在沙滩上，随着海浪的起伏哼歌…
芭芭拉: 我觉得是非常浪漫的事哦。
芭芭拉: 而且，你也在这里，总觉得…这个夏天变得特别了起来。
旅行者: 关于芭芭拉自己…
芭芭拉: 嗯？我吗？
芭芭拉: 我…我其实、其实…
芭芭拉: 唔…你要听实话吗？
芭芭拉: 其实，我既担心大家的安全，也想趁机和大家一起出远门，才跟来海岛的…
芭芭拉: 你、你不会笑话我吧？毕竟作为祈礼牧师我也不应该太贪玩才是…
旅行者: 不会的。
芭芭拉: 呼…那就好。
旅行者: 关于今天发生的事…
芭芭拉: 没想到那几位也到海岛来了，气氛一下活泼好多呢。
芭芭拉: 我想借着这次机会拉近与大家的关系，特别是…跟姐姐。
芭芭拉: 可能是性格原因，她总是非常繁忙，一个人背负许多事。
芭芭拉: 我希望她能自由一些、快乐一些…至少我在的时候，能让她高兴起来。
芭芭拉: 是不是该给她唱首歌呢？唔…
旅行者: 先不打扰你了。
芭芭拉: 嗯，待会儿见！
