# Talk Dialog

派蒙: 神子平时应该在这里吧？
八重神子: 小家伙们，求签，还是访友？
派蒙: 哇！什么时候…
旅行者: 好久不见，宫司大人。
八重神子: 这语气怎么有点像我那个老朋友…不要客套了，看你们的样子，有急事吧？
旅行者: 想打听个人。
八重神子: 我昨天的提示那么明显，你们还没找到人？
派蒙: 你昨天果然是故意那么说的？
八重神子: …先别管这个，既然来求人帮忙，至少先向我说明下情况吧？
派蒙: 好吧，我们昨天去过那个地址，可惜没有抓住机会。
派蒙: 现在那个家伙已经不在那里露面了，据说是在避世清修，我们根本不知道去哪里找…
八重神子: 唉…明明找到昨天那个地址就已经很不容易了。
派蒙: 如果需要的话，我们这边也有些新的情报。那个「江村一玄斋」可能是瑞希接待过的一名客人，我记得是叫江村中弥来着…
八重神子: 哈？那个家伙？
派蒙: 神子知道？
八重神子: 我让八重堂举办那次读者来信活动，本来是想找同好聊一些有趣的事情，结果这个家伙蹦了出来…
八重神子: 传播烦恼的家伙和消除烦恼的大师，也能是同一个人？
派蒙: 从我们之前的调查来看，确实有这种可能性。
八重神子: 好吧，如果你们想找这个人，可以去这个地址试试。
派蒙: 这个地址…这真是住人的地方吗？
八重神子: 他曾经在八重堂一口气订购了几十本小说，然后留了这个收货地址，还要求到付。
八重神子: 仓库那边以为是恶作剧，就拒绝了这个订单，结果这件事还被他在那封读者来信中专门骂了一遍。
八重神子: 现在想想，这种性格的家伙，还真就只能住在那种地方。
派蒙: 确实…来找神子果然没错！
八重神子: 能帮上我那个老朋友就好。
派蒙: 所以你还是想帮她的吧？
八重神子: 我看得出来瑞希对秋沙钱汤这份产业的投入很大，现在秋沙钱汤遇到了困难，我作为朋友自然要关心一下。
派蒙: 看你昨天的样子，我还以为你是去吵架的…
八重神子: 瑞希应该和你们说过，我和她之间存在竞争关系吧？
八重神子: 从同窗时期开始，她就一直这么认为。现在我是鸣神大社的宫司，她肯定也想通过秋沙钱汤证明自己。
八重神子: 要是这种生死攸关的经营问题都必须靠我帮忙解决…我总该考虑一下老朋友的心情。
旅行者: 难得见你这么体贴。
八重神子: 就当你是在夸我吧。我这个老朋友习惯了体贴别人，也总该有人来体贴她一下。
旅行者: 你不方便的话…
八重神子: 小家伙，一点就透嘛——你们来的时候很急，还有时间闲聊吗？
派蒙: 哦哦，我们快通知瑞希吧！
旅行者: 我来帮她吧。
旅行者: 请问那个「江村一玄斋」在哪？
