# Talk Dialog

派蒙: 秋沙钱汤…从邀请函上标注的地址来看，就是这家店了。
派蒙: 嗯…我好像想起来了，之前来稻妻时有几次路过这家店，但是没进去过。
蓝川丞: 两位是想光顾秋沙钱汤吗？
派蒙: 哇，从哪里蹦出来的？
蓝川丞: 抱歉…最近揽客越来越难，所以刚刚听到两位谈论在下经营的小店，激动得有些失态，还望海涵。
派蒙: 原来是店老板啊…听起来，这边生意好像不太好的样子？
蓝川丞: …在下随口抱怨一句，不劳两位费心，请问两位有预约吗？
派蒙: 嗯…我们有一张免费邀请函，现在可以用吗？
蓝川丞: 这…早就说过了，现在的经营问题根本不是搞搞促销就能解决的，到底是谁发的…梦见月小姐的签名？
蓝川丞: 真的非常抱歉，在下没料到两位是梦见月小姐的特约客人…这张邀请函现在就可以兑现，两位进店直接报上名号就可以。
派蒙: 这种语气…你不是她的老板吗？
蓝川丞: 老板确实是我，但梦见月小姐是秋沙钱汤背后的大股东，多亏了她的资助，我这家店才能开起来…
派蒙: 啊？
蓝川丞: 请不要惊讶，梦见月小姐是一位责任心很强的人。即便作为股东，她也亲自参加工作。
蓝川丞: 她最近才返回稻妻，不然的话两位应该早就听说过这位敬业的心理诊疗师了。
蓝川丞: 两位这边请。
