# Talk Dialog

派蒙: 五百藏，我们又来咯！
五百藏: 呼呼…吵什么呶…这么晚了还带这么多人来，不知道变成石头也要休息…的…吗…
五百藏: 将…将军大人！吾吾辈这就行礼…不对吾辈还是石像…完了完了…
影: 不必多礼，隐神保生司正。
旅行者: 五百藏怎么这么害怕影…
八重神子: 哦，当初他去偷御苑鸣草的时候，差点被影劈成八酝岛的样子…
五百藏: ——臭狐狸！吾辈听得见！
影: …五百藏，这次找你，是有事相询。
五百藏: ——将军请问！吾辈一定知无不言！不知也言！
派蒙: 变脸变得真快…
梦见月瑞希: 呼…你们可以稍微慢点嘛…我得哄半天，他们才愿意跟上来…
「铁之助」: 啊——是五百藏啊！
「金阁」: ——你果然是被人类给害死了呶！
「银阁」: ——连身体都被做成石像了呶！
五百藏: 呜呶呶？！——吾辈还没死呢！！
「银阁」: 呶…还真没死？狐狸没在骗？
「铁之助」: 气味是对的，五百藏没死？
「金阁」: 五百藏啊——你果然是被人类给封印了呶！
五百藏: 呶？仔细一闻…这不是金阁…银阁…还有铁之助？你们没被封印？
「铁之助」: 呶…当初那个叫惟神晴之介的人类要来害吾等的时候…
「银阁」: 吾等一路跑一路躲…人类一路追一路找…还能动的同伴越来越少…能用的妖力也越变越少…
「金阁」: 然后，吾等效仿大妖狸九百九的避敌之策…打算挖地洞逃跑呶！
「铁之助」: 就在这时候…一定是大妖狸伪一郎显灵…从地里挖出一个全是妖力的「角」！
「金阁」: 吾等靠那只角，一下子就恢复了妖力！把人类砰砰、哐哐、嚓嚓！
五百藏: 哦哦！砰砰、哐哐、嚓嚓！然后然后？
「金阁」: …就给骗过去了！然后就逃出来呶！
五百藏: …原来不是把那小子给修理了一顿啊…
「银阁」: 那之后，吾等靠着那只角…一直躲着人类…但人类越来越多，越来越难躲了呶…
梦见月瑞希: 充盈着妖力的角…就是因为它，妖狸们才会陷入「噩梦」，把所有人类都看成坏人吗？
梦见月瑞希: 借助角上的妖力避世隐居，却也同时被角上残留的噩梦侵染…在这五百年间，一直惴惴不安，直到今天…
五百藏: 咳，吾辈就知道…借助外物是偏离狸道的行为，肯定不会有好事情呶！
「金阁」: 呶！吾等…偏离了狸道？
「银阁」: 可是…那只角帮吾等躲开了人类…人类还想抢吾等地盘…
影: …恰恰相反，幕府之所以组织前期勘测的队伍，就是为了提前查明有妖怪居住的土地。
影: 之后不管是避开，还是洽谈，都能以和平的方式解决问题。
「铁之助」: ——是…是这样呶？
「银阁」: 好像…人类那时候说的话…还真是这样呶…
桐村: …将军大人特意叮嘱过的，要是有妖怪居住，就去好好交流…
