# Talk Dialog

铁骨双刀: 你们…马上就要和海妮耶大人交锋了吧？
旅行者: 怎么了？
派蒙: 关于海妮耶的事情，我们的心情也有点沉重，你不要乱说话哦，不然我们会生气的…
铁骨双刀: 不，现在的我没资格对你们任何一边妄加评论，只不过，我看了海妮耶大人和那位…「玲珑油豆腐」女士的比赛。
铁骨双刀: 海妮耶大人好像动摇了，我还是第一次看见她这幅模样，感觉…很震撼。
派蒙: 哼！我早就想说了，你到底把海妮耶当成什么铁石心肠的人了啦，这样一点也不尊重她！
派蒙: 你都没和她说过几句话，根本不了解她吧！我也不了解你，现在我模仿你，只凭你的外表，就猜测你以前是个…
派蒙: 喝醉了酒以后，嘴上叼着烤焦的蘑菇串，拿着双刀在篝火边跳舞，自己绊倒自己，脸朝下摔个一脸泥巴的笨蛋！
派蒙: 而且我还到处去和别人说，怎么样？你知道这件事后，难道不会生气吗？
铁骨双刀: 「白银伴星」！你竟然…竟然猜中了？
派蒙: ？
旅行者: ……
铁骨双刀: 不过，你说的确实有道理…我确实不知道海妮耶大人本来是什么样的人，也许给她凭空增添了不少麻烦…
铁骨双刀: 我错了，我不该对海妮耶大人妄加评论，我再次向您道歉！
旅行者: 居然震慑了这个大块头！
派蒙: 喂喂，也不用这么夸张啦…我这一套说法都是向神子和莱依拉学的啦！
派蒙: 反正，你知道自己错了就好，以后千万别再这样了哦！
旅行者: 派蒙的气势好强！
旅行者: 再见。
铁骨双刀: 再见…我还要好好反省一下…
