# Talk Dialog

旅行者: 你刚在自言自语什么？
薇尔: 哦，莎拉最近想进口点璃月原产辣椒，据说是能让蒙德最爱吃辣的芭芭拉都辣哭的品种。
薇尔: 要我说，不符合86%的蒙德人的口味，费大半天力气进口了也很难卖出去吧。
旅行者: 芭芭拉喜欢吃辣？
薇尔: 啊？原来你不知道吗？我以为全蒙德的人都知道呢。
旅行者: 请多说些「全蒙德知道」的事…
薇尔: 嗯…话说那些来到蒙德的至冬使团，除了政治目的之外，也有至冬的商人带来了「火水」这种充满至冬特色的酒，旨在与晨曦酒庄达成商业合作。
薇尔: 在晨曦酒庄举办的酒宴上，迪卢克老爷端起一杯产自万里之外的至冬「火水」，也叫女仆为至冬商人斟满酒庄最自豪的「蒲公英酒」。
薇尔: 出于礼貌，迪卢克老爷效仿至冬习俗，一口气将整杯「火水」饮尽。
薇尔: 至冬来客们对迪卢克老爷的「豪气」赞许连连，他微微点头回应，随后便感觉一阵天旋地转…
薇尔: 但迪卢克老爷依然「从容」地将庄主的风度维持到了最后。可是酒宴结束之后，老爷在房间里整整昏睡了三天。
薇尔: 晨曦酒庄上上下下都在担忧，莫非老爷遭到了至冬人的暗算…？
薇尔: 负责照顾老爷起居的爱德琳小姐安抚了大家，「老爷没事…只是我从来都没见过谁会醉成这样…」
薇尔: …迪卢克老爷醒来之后的第一件事，便是拒绝了与至冬国的商业合作——「蒙德人喝不来这个。」
旅行者: 你可以劝劝她。
薇尔: 我劝过了，并没有用。
薇尔: 如果还想不出办法，就只能动用「那个男人」了。
薇尔: 常识来讲，以凯亚的话术，稍微旁敲侧击一下就搞定了吧。
薇尔: 咳咳，总之，谢谢你的关心了。
