# Talk Dialog

阿尔邦: 你看见留言板了吗？好像有人看上了那个发条企鹅。
阿尔贝: 看到了，是想要认识下菲米尼的那条吧？听口气，感觉还有点想进一步合作的意思。
旅行者: 菲米尼？
阿尔邦: 哦，就是摆在那边桌子上的发条玩具企鹅，是一个叫做菲米尼的潜水员做的。他放在我们店寄售。
阿尔贝: 他是个好小伙子，有一张漂亮的脸蛋，说话轻声细语，做玩具的手艺还很棒。
阿尔邦: 唯一就是，他看起来有点忧伤，就好像缺少了什么本该属于他的东西…
阿尔贝: 那眼神我太清楚啦，和阿尔邦看他那空荡荡的钱包的眼神一模一样，他绝对是缺钱。
阿尔邦: 别胡说，你忘了他来谈寄售的那天，都没说分成的事。这一看就不是冲着摩拉来的。
阿尔贝: 这倒也是，但这种年纪的小伙子还能烦恼什么呢？
阿尔邦: 话说回来，他确实挺讨人喜欢的，老板这还是头一回答应了寄售。
阿尔邦: 不仅给安排了户外的摊位，也没占人便宜，主动提出了五五分成。
阿尔贝: 可惜啊，最后卖的情况，只能说一般般吧。看的人不少，买的人不多。
阿尔贝: 那个玩具的设计确实精巧，但可能正因为这样，上手的门槛也变高了，维修起来也不容易。
阿尔邦: 没想到这次居然有人特地在留言板上留言。搞不好碰上大客户了呢。
阿尔贝: 总之，回头记得提醒一下老板，好买卖可别弄丢了。
旅行者: 发条企鹅？
