# Talk Dialog

旅行者: 关于剑冢…
利文斯通博士: 看样子，你是外地来的旅行者吧？这座剑冢很久以前就在这里了，大概是过去讨伐魔物的战士们留下的遗物…
利文斯通博士: 古代的勇者为了防止周围的丘丘人玷污剑冢，特意布下了三层封印。只有分别击败三个丘丘人部落，触发部落中的机关，才能解开。
旅行者: 关于丘丘人部落…
利文斯通博士: 剑冢周围一共有三个丘丘人部落，分别是北方的「好肉族」、南方的「好睡族」和东边谷地中的「黑日族」。
旅行者: 好肉族？
利文斯通博士: 就是北边的部族啦。
利文斯通博士: 顾名思义，「好肉族」喜欢吃肉，痴迷肌肉，
利文斯通博士: 所以个个肌肉发达，头脑简单
利文斯通博士: 不巧的是，封印的机关恰恰在大擂台中央。
利文斯通博士: 一旦闯进去，就会被当成挑战者，和他们来一场大群殴。
旅行者: 好睡族？
利文斯通博士: 「好睡族」在剑冢的南边。
利文斯通博士: 它们整天嗜睡，但却非常狡猾，诡计多端。
利文斯通博士: 所以不要被它们懒洋洋的模样骗了，它们一点也不好对付！
旅行者: 黑日族？
利文斯通博士: 「黑日族」在东边的谷地中，是三个部族中最危险的，它们崇尚萨满传统，每天都神神叨叨的…
利文斯通博士: 那里的萨满虽然不信七神，却也能够驱使自然元素的力量。
利文斯通博士: 另外那里还有深渊法师出没…若不是亲眼见到，我还以为那只是古籍中的传说…
旅行者: 为什么机关会在丘丘人部落里？
利文斯通博士: 这…是个好问题。以丘丘人的智力，它们是不会制造和处理机关的…所以…或许机关本身也是古代的英雄们留在此地的遗迹吧？
利文斯通博士: 一方面机关降下了保护剑冢的封印，另一方面此地的丘丘人又恰好为剑冢充当了卫士的工作，
利文斯通博士: 既发挥了人类的智力，也利用了丘丘人的愚蠢…或许这就是古代人的智慧吧。
旅行者: 听起来很危险呢。
利文斯通博士: 话是这样说的，但是对于我们冒险家而言，「危险」也只是家常便饭而已啦！
利文斯通博士: 我们冒险家都是为征服星空与深渊而生的人，为了区区危险而停下探索步伐，这样的人也太无聊了！
