# Talk Dialog

旅行者: （听听评书）
茶博士刘苏: …您们要是愿意听，我就讲讲那叱咤汪洋的南十字船队。
茶博士刘苏: 话说那南十字的大姐头号曰「北斗」，生的是身长三丈，腰阔十围，一席红衣似烈火，烁烁独目如闪电！
茶博士刘苏: 各位客官您们看，这能是一般人物吗？那可不是嘛，不能啊！
茶博士刘苏: 我们闲言赘语不多谈，就来讲讲她老人家大战妖魔「海山」的事迹…
旅行者: （继续听）
茶博士刘苏: …那北斗岂是等闲之辈，左手掣住海山，右手金瓜大的拳头提将起来：
茶博士刘苏: 「今日你是吃了甚么狗胆，竟惹到南十字头上来了！」
茶博士刘苏: 于是怒喝一声，铿铿便打！打得海山头破血流，当时海面上就红了一大片呀…
茶博士刘苏: 这海山本是一头巨鲸，哪里见过海面上这样阵势！于是死命挣脱，就要往深海里钻去…
旅行者: 好！
茶博士刘苏: …北斗转眼间便没入波涛，不见了踪影。
茶博士刘苏: 海面上腥红一片，也分不清是海山的血，还是北斗的…水手们焦急万分，却也不敢轻举妄动。
茶博士刘苏: 话说形势僵持了大概那么三、四个时辰，突然只听「轰隆」一声炸雷般的巨响——
茶博士刘苏: 欲知后事如何，且听我下回分解。
