# Talk Dialog

艾玛托: 呜呜，「大桔骑士」…你在哪啊…这得上哪儿去找啊…
旅行者: 你怎么了？
艾玛托: 荣！荣誉骑士！
艾玛托: 报告荣誉骑士，我我我，我负责照顾的队猫…打晕了我，逃走了…
旅行者: 队猫？
艾玛托: 说出来有点丢人，但绝不能让荣誉骑士费心…
艾玛托: 队长还在总部做近期的述职报告，已经很忙了…我一定得自己找到大桔骑士，不能给队长添麻烦！
旅行者: 打晕？
旅行者: 你还好吗？
艾玛托: 多，多谢荣誉骑士关心！我只是头上挨了一爪子，现在有点晕…
艾玛托: 「大桔骑士」也没用多大的力气，就是有点不开心…都怪我自己太弱了…
艾玛托: 我不应该自作主张，把方妮雅的香粉洒在玩具上，递给「大桔骑士」的…
艾玛托: 我觉得好闻的气味，被「大桔骑士」当成了威胁信号…挨打也是我活该！
艾玛托: 而且，我确实该锻炼一下了，就算不用普通武器在一线战斗，扔炸弹也需要耗费很多体力…
艾玛托: 打不过野猪就算了，被大猫一爪拍晕，下次战斗能力考核，我肯定会过不了关的，必须恪守骑士的职责才行！
艾玛托: 或者…学习璃月的爆破装置和枫丹的铳枪，设计一种…口径超过筒身的弹药抛射装置，把炸弹打出去？
艾玛托: 呃咳，都是后话了…
艾玛托: 反正，反正都是我的错，无论如何都不能麻烦荣誉骑士！您是队长级的大人物一定还有超多事务要处理！
艾玛托: 不打扰您了！
旅行者: 不知道出什么事了…但你加油！
艾玛托: 荣荣荣荣荣荣誉骑士！我我我…好好好！我一定加油！
