# Talk Dialog

派蒙: 哇哦！才一转眼没见，你们的摊位就已经变得有声有色了呢！
宵宫: 嘿嘿，这都是小吉法师的功劳哦！我们只是告诉了他想要的效果…他就把布景统统都变出来了！
早柚: 还有游艺也是…明明才刚刚做出原型，现在就能试玩了…好厉害的法术…
「吉法师」: 呶！吉法师，厉害！
旅行者: 吉法师，厉害！
派蒙: 所以…具体是要怎么玩呢？感觉没看见什么能直接玩的东西…
宵宫: 只要把手放在这块注入了妖力的板子上，就能进吉法师变出的「梦境」里玩了…好像是这样吧？
「吉法师」: 橙毛，聪明！
派蒙: 嗯——嗯，用妖狸的妖力代替人力，制造出虚幻的场景…真是不错的技术！
「吉法师」: 白毛？口气突然好大？
早柚: 语气突然就像老师一样了…是在学那种「专业评委」吗？
旅行者: 不用管她就是。
派蒙: 哼哼，这种新技术…不如就叫做「非真实」…或者「妖狸替」吧！
旅行者: 来聊聊你们的创意吧。
宵宫: 好啊好啊！
派蒙: …喂，我是不是被无视了？
宵宫: 不过比起问我，还是问早柚更合适吧？这个「分身幻梦」的点子，基本上都是她想的。
旅行者: 「分身幻梦」？
早柚: …是我之前做的一个梦，在梦里，我学会了「分身术」，能让分身来帮我干活…
早柚: 这么一来，那个巫女，就没理由来抓我了吧？所以我就能高高兴兴地睡更多觉…
派蒙: 在梦里也想着睡觉吗…
早柚: 结果心里一高兴，就把自己给笑醒了…唉，要是能在现实里学会「分身术」就好了。
旅行者: 感觉早柚的分身…
早柚: 唔…就算有分身被抓了，剩下的，也能多睡会儿吧？
派蒙: 那分身多干的活，难道不会让你觉得更累吗？
早柚: 唔唔…这么一说还真是…说不清楚啊…
宵宫: 梦里头的事情，大多都是这样说不清楚讲不明白的吧？我觉得这也是有意思的地方！
宵宫: 所以我们队的选题就是「不可思议的『分身幻梦』——貉貉分身帮帮忙！」
派蒙: 貉貉…分身？这是什么东西？
早柚: 解释起来感觉好累…要不然，你们自己试试？
旅行者: 好啊好啊。
早柚: 那来这边，把手放到板子上面…然后闭上眼睛…
旅行者: 下次一定。
宵宫: 啊，你们还得去别的组看看是吧。没关系，想玩的时候，随时来摸摸这板子！
旅行者: 搞不好会一起旷工。
