# Talk Dialog

艾玛托: 哎呀呀，真是一次漂亮的行动！说不定…以后建立「炸弹部队」的时候，队长会让我编写训练条令！
旅行者: 任务进展如何了？
派蒙: 听你自言自语的语气，还挺自豪的嘛！说明你的行动很顺利咯？
艾玛托: 哦呀！报告荣誉骑士大人和白色小帮手，「入侵角鲀歼灭战」已顺利完成！
艾玛托: 水下的角鲀窝点已经被我清扫一空了，方妮雅也仔细核查了好几遍，确定没有任何漏网之鱼！
艾玛托: 不过，有些角鲀的窝点相当坚固，我投了好几枚炸弹才把它们搞定，厚厚的岩石真的很难处理。
艾玛托: 难怪火花骑士的炸弹无论大小，装药占弹药全重的比例都相当惊人，原来是充分考虑到了对硬目标的破坏效果，不愧是她！
旅行者: 好厉害！
派蒙: 又在念叨我们不明白的术语了。
艾玛托: 不过，严格来说，装药量也不能解决一切。爆炸的能量朝各个方向逃走了，没有被集中在同一个方向，才是主要的问题。
艾玛托: 如果使用一个锥形的罩子，是不是就能把爆炸的能量集中起来，打穿厚厚的防护了呢…
艾玛托: 那这种锥形的罩子，应该要用很结实的金属来制作才行，还得好好研究一下…
艾玛托: 嗯！就用这次行动的额外奖金，加上一礼拜的工资，请火花骑士多吃几顿大餐吧，好好感谢她为这次行动的付出。
艾玛托: 顺带和她讨论一下，怎么制作新型结构的炸弹，集中能量…嘿嘿嘿…
旅行者: 这个转折是怎么回事！
派蒙: 对啊！你愿意请可莉吃饭是好事，不过，这次在干活的明明是你自己呀？
派蒙: 自己花了时间和力气，却把赚到的钱给了别人，你不会觉得白忙活了吗？
艾玛托: 没有那种事！追根究底，我的炸弹技术，都是向火花骑士学来的，或者被她启发，自己琢磨出来的！
艾玛托: 如果不是火花骑士向我展示了她的炸弹，解释了许多要点，我还是一个…体力没优势，剑术也没特色的普通骑士。
艾玛托: 那样的话，我也没法完成这次的任务了！
艾玛托: 所以对我来说，「入侵角鲀歼灭战」的胜利，都是火花骑士的功劳！火花骑士对摩拉没什么兴趣，但肯定喜欢好吃的！
派蒙: 好…好严密的逻辑，无法反驳！
旅行者: 好耶！火花骑士有学徒了！
艾玛托: 嘘…不至于不至于！
艾玛托: 火花骑士永远自由自在，什么老师和学徒的名分，是对火花骑士的一种拘束，我不想给火花骑士添麻烦！
艾玛托: 我最多只是…嗯，远远观察火花骑士，揣摩她制作和使用炸弹的要点…
艾玛托: 嗯，就把我当成野生的炸弹模仿者好了！
旅行者: 好耶！可莉的学生请吃饭！
旅行者: 你的思路跳得太快了！
旅行者: 好难懂…
旅行者: 你是…
艾玛托: 报告荣誉骑士大人和白色小帮手，我是艾玛托，调查小队的「武器官」！
艾玛托: 您之前可能听说过我，但您毕竟是队长级的强者，见过的骑士太多了，忘掉我也可以理解！
艾玛托: 如果你们不嫌弃，请听我简单介绍一下，我在调查小队中的职责——
艾玛托: 「除了基本的军事情报，还要对骑士们的战斗数据进行调查、统计和分析，探索一条不断改进战法，提升战力的道路。」
艾玛托: 所以，根据骑士们的习惯，对武器装备进行改良，也属于调查小队的工作。
艾玛托: 所谓「武器官」，就是对实验性装备进行测试的骑士。
艾玛托: 这次我被派来执行「入侵角鲀歼灭战」的任务，清除了果酒湖里所有的入侵鱼类，顺带试验了一下特别的炸弹…
艾玛托: 我已经心满意足了！
旅行者: 那你一定也是个战斗高手了？
艾玛托: 不是，我是个战斗白痴。如果让我拿起剑去战斗，一头野猪能打二十个我。
派蒙: ？
旅行者: ？
艾玛托: 但我命硬，哈哈！
艾玛托: 我揣摩蹦蹦炸弹的配方期间，经历过…呃，我数数…二十七次事故，其中有十九次被炸飞到了天上呢！
艾玛托: 但打好绷带，装好夹板后，我第二天就能去调查小队的驻地继续上班！
艾玛托: 同事们都很默契，帮我向阿贝多队长隐瞒了这些事，不然，我就要缺勤了！
艾玛托: 追随火花的脚步，可不能太放松，太散漫！
旅行者: 倒也不用这么拼命…
派蒙: 有点担心这个西风骑士的精神状态…要不然，有机会的话，我们和阿贝多提一下，让他注意下这个队员吧？
派蒙: 为了工作什么也不顾，好像太过火了！
旅行者: 可以和队长请假的…
旅行者: 难不成你也「诸武精通」了？
旅行者: （我们悄悄离开吧。）
派蒙: （看她一副开心得什么都不管了的样子，我们还是不要打扰她了吧…）
