# Talk Dialog

左右加: 太棒了！你们两位和莱依拉小姐的比赛，明明万分激烈，却没有半点火药味，简直就是友情切磋的典范！
旅行者: 谢谢！
派蒙: 嘿嘿，要是莱依拉听见这个评价，肯定会很高兴！
左右加: 原本我还不知道从哪个角度来描写这种…和主角存在竞争关系，却成为了朋友的人物，现在我完全明白了！
左右加: 我要再好好思考一下剧情的结构，给主角也加一个这样的朋友！
旅行者: 我们的较量也很友好。
派蒙: 对哦，和左右加小姐对阵的时候，我们的情绪也很轻松，完全没有焦躁啊，更不用说较真了！
左右加: 这…虽然我知道你们放水了，但用这么平和的态度对待我这个普通人…我都不知道该怎么谢谢你们！
左右加: 不过，把这种剧情写进小说后，需要修改一下…早早淘汰掉主角的对手还是要严肃一点，不然，给读者的挫败感就强得过头了！
旅行者: 可是神子输了啦。
派蒙: 对哦，神子输掉了，好可惜！
左右加: 咦？八重大人难道不是故意输掉的吗？
左右加: 比起胜负，她更在意的应该是——这个荟萃了众多驯兽师的故事，究竟怎样才能发展得让她满意。
派蒙: 唔…说得也是呢。
派蒙: 可是，她自己明明已经说动海妮耶了，再多来两句，应该就能让海妮耶清醒一点了…
左右加: 大概是因为…八重大人自认为，她在这个故事里的角色设定，并不是和海妮耶距离很近的朋友？所以不可以抢走你们的高光时刻！
左右加: 而且，就目前的发展来看，说不定八重大人也考虑到了「在这里断章刚刚好」！
派蒙: 这都是什么高深的作者术语，有点听不懂了啦…
旅行者: 下次再聊…
左右加: 好！两位请加油，期待你们在决赛中的表现！
