# Talk Dialog

铁骨双刀: 实在太丢脸了…
旅行者: 鼠辈来啦！
派蒙: 见识浅薄的派蒙来啦！
铁骨双刀: 你们！你们是想气死我吗！
铁骨双刀: 行，没问题！输了就是输了，我为之前不妥的言论道歉！
铁骨双刀: 对不起！你们尽管嘲笑我吧！
铁骨双刀: 不过，海妮耶大人还是会战胜你们的。虽然她赢了任何人都和我无关，但至少证明，我的信念没有错！
派蒙: 你为什么这么相信海妮耶呢？难道说，海妮耶以前帮过你，救过你的命吗？
铁骨双刀: 这就说来话长了…
铁骨双刀: 当年，有几个盗宝团的家伙，不知道用什么方法激怒了一大群驮兽，想用这些驮兽冲散一支商队，以便盗宝团打劫财物…
铁骨双刀: 但海妮耶大人不知用什么方法，察觉到了这群驮兽的异样，提前将它们安抚下来，阻止了一场灾难。
派蒙: 难道说，你担任了那支商队的护卫？海妮耶保住了你的雇主的财产，也因此保住了你的摩拉…甚至是性命！
铁骨双刀: 不，我是路过看戏的。
铁骨双刀: 凭我十多年佣兵生涯的经验，我敢确定，要是我被卷入了那样的事件，必定凶多吉少了。
铁骨双刀: 海妮耶大人驯兽的本领远比我手里的武器强大，为此，我才封存了我心爱的双刀，退出了镀金旅团，开始钻研驯兽之法。
铁骨双刀: 现在你们明白了吗？海妮耶大人让我走上了一条更有潜力的道路，是可敬的前辈！
旅行者: 明，明白了…
派蒙: 唔呃…逻辑有点奇怪，但好像也有点道理呢…
旅行者: 你继续丢脸，不打扰了。
铁骨双刀: 你！你们快走吧！现在我也不知道该和你说什么！
