# Talk Dialog

井上: …将…将军大人！鸣神永恒，常道恢…不对，是欢迎光临，欢迎光临…
影: 这摊位看着甚是眼熟，但摊主…可是换人了？
井上: 啊…您是在说智树吧？他…他今天闹肚子没来，所以是我来代班…哈哈…
影: 是吗，但我总觉得你有些面熟？和天领奉行府的一位同心颇有几分相似…
井上: 呃…这个…
派蒙: 影，你在看什么？
影: 嗯？我想寻些吃食，不过这位摊主…
旅行者: （「摊主」似乎投来了求助的目光…看摊位上小吃的制作手法，像是第一天摆摊…）
旅行者: 影…他在「工作」。
影: 「工作」？…啊。
影: …原来如此，辛苦你了，「摊主」。
井上: 不、不辛苦！为各位大人效力，是我等的荣幸！
影: 不必如此拘谨，来三份「团子牛奶」吧。
井上: ——是！
派蒙: 「三份」？连我们也有吗？
影: 嗯，此为「答谢」。今日出行，若没有你们从旁照应…恐怕人们到现在还在畏惧我。
影: 虽说事出有因，但我也不希望自己的到场，坏了他们享受「三川花祭」的气氛。
旅行者: 这祭典属于所有人。
影: 呵，是啊。「三川花祭」…离我上次参与已有数百年光景。今日重游，人不同，地不同，游艺也不同…
影: 但「三川花祭」的名字，与它为人们带来的喜乐…却与旧时无异。这，也可称为一种「永恒」吗？
梦见月瑞希: #旅行者，派蒙…还有将军大人？
派蒙: 欸？是瑞希？你看起来精神多了啊。
影: 梦见月瑞希…感谢你之前的协助。
梦见月瑞希: 那是我的本职工作，自然要全力以赴…遗憾的是，情况太过特殊，没能让身陷噩梦的人们醒转。
影: 仅仅是缓解他们在梦中的痛苦，就已经是大功一件了。不愧是食梦貘一族的后人。
派蒙: 连瑞希都只能缓解吗…那个「噩梦怪物」到底是什么来头…
影: ……
梦见月瑞希: …深入的问题，我们可以稍后再详谈。现在来找各位，其实是想问一件事。
梦见月瑞希: 你们有没有兴趣，去一趟秋沙钱汤？大部分选手都已经答应了——当然，不必考虑开销，是我来请客。
派蒙: 请客！好耶好耶！我要去！
旅行者: 为什么现在去温泉？
梦见月瑞希: 开发「游艺」可不是件轻松的事，选手们各有各的疲惫嘛，适当放松一下，对大家都有益处。
梦见月瑞希: 你们一边调查一边戒备，也积累了不少压力吧，不妨一起过去？
派蒙: 当然要去！对吧？
影: …我就不必了。此间还有不少有趣的摊位，难得出一次天守阁，我想再转转。
派蒙: 这样啊，真可惜…
旅行者: 那我也不去了…
梦见月瑞希: #啊，旅行者，我突然想起来，神子好像找你有事，先跟我过去吧？
影: 这样吗？那我们也…
井上: 将军大人！您要的「团子牛奶」好了…
派蒙: 哦哦…好香！
梦见月瑞希: #嗯，神子只说是要找「评委」，我带旅行者过去就行，不劳将军大人和派蒙多跑一程。
旅行者: 我去去就回。
梦见月瑞希: …这样就方便商量了。
旅行者: 神子果然不在这里…
梦见月瑞希: 你跟将军大人同行了一整天，有看出她的「病症」吗？
旅行者: 她…她有得病吗？
梦见月瑞希: 难道是靠得太近，反而容易忽视吗…她看起来心事很重吧？
旅行者: （影今天的样子…确实有些不对，是因为离开天守阁不太适应，还是因为会场内群众的反应…）
旅行者: （不对，我们已经经历过这么多事，她是不会再因为这点小事而动摇的…或许，是还有什么未说出口的…）
