# Talk Dialog

「铁之助」: 很快…很快就能甩掉了呶——
九条裟罗: …怎能容忍你们让我一次次地在御前失态！
「银阁」: 呜呶呶！是天狗！
「金阁」: 用飞的…天狗耍赖！
九条裟罗: 现在，束手就擒，还能饶你们一命。
「铁之助」: 天狗…为什么要帮人类！天狗不是妖怪呶？
九条裟罗: 荒唐，我心向将军，人类与妖怪，在我眼中没有分别。
「银阁」: 将军…是那群人类的头头呶！
「金阁」: …让坏蛋来抢地盘的…大坏蛋！
九条裟罗: 一派胡言，将军何时发出过这样的指示！
影: 裟罗，稍安勿躁，先听听他们是怎么说的吧。
「铁之助」: 将军…派了人类，来抢家园…
「金阁」: 还要办「三川花祭」…让妖怪给人类当苦工…！
派蒙: 当苦工？不会是在说做游艺吧…
「银阁」: 呜呜…不仅是同族…就连食梦貘大妖怪，都被逼着通宵干活呶…
梦见月瑞希: 呃…是说昨晚的事？那个其实算我自愿的啦…
派蒙: 这群家伙误会得也太没道理了吧？
旅行者: 你们可能有些误会…
「银阁」: 别、别过来呶！
「金阁」: 人类，又想奴役吾等呶！
梦见月瑞希: 等等，他们的样子不太对劲！得换个办法交流…
影: 不必再试了…他们已被困在自己的「噩梦」里。
「铁之助」: 你想干什么呶…！抓铁之助回去当「妖狸替」吗！
「银阁」: 银…银阁不想熬夜呶…呜呜…
影: 「奴役」、「苦工」…这些在旁人眼里可笑又滑稽的误会，在他们的梦中与眼中…却成了确凿无误的事实。
影: …他们的世界里充满了绝望与恐惧，四周环伺的都是敌人…照不进一丝光明。
派蒙: 你是说…他们…是在「梦游」？我们没有办法叫醒他们吗？
八重神子: …若有办法，当年就已经用了。
「金阁」: 你们…你们动手吧！金阁绝不偏离狸道！宁死…宁死不工作呶！
旅行者: …我或许有办法。
影: …嗯？
旅行者: 如果「噩梦」来自深渊…
「银阁」: 你…你想干什么…不…不要呶——
「铁之助」: …最近人类越来越多了，吾等还能躲到什么时候呶…
「金阁」: 吾等躲了多少年了？一百年？还是五百年？
「银阁」: 不记得了呶…要是五百藏还在肯定就记得了…
「金阁」: 小声！——有人来了！
高田: …这片土地可真不错，开垦成农田，准能产出不少粮食！
桐村: 别忘了看看这附近有没有妖怪生活的痕迹，将军大人特意叮嘱过的…
桐村: …将军大人特意叮嘱过的，要是有妖怪盘踞，就统统讨伐！
水川: 可别讨伐光了！还得留下一群供我们驱使，让他们自己去开垦自己的家园！哈哈！
高田: 欸，说起来你知道「三川花祭」吗？听说祭典的收益，有五成都会汇进开发计划的资金池呢！
水川: 哦哦，我也听说了，就是那个既属于人类…
水川: …就是那个只属于人类的「三川花祭」！那群妖怪只知道自己享乐，现在也轮到我们人类啦！
高田: 不错！还要把他们统统奴役起来，他们不是很能变吗？那就变给我们玩乐！直到死为止！哈哈——
「铁之助」: 怎…怎么会…
「银阁」: 小声…别…别被发现呶…
桐村: 哈哈哈…哈哈哈！
「噩梦残片」 (？？？): …嗬…
高田: 咦…那是什么东西…啊…啊！
独眼小僧: 喂…你们没事吧？狐妖！河童！这里有人出事了！
河童: 等等，我来帮忙…啊啊…啊！
「噩梦残片」 (？？？): …嗬…
「银阁」: 妖怪…跟人类…都晕过去呶？
「金阁」: 他们是…同归于尽哩？
独眼小僧: …「三川花祭」…
「铁之助」: 这个妖怪！还会说话！
狐妖: …不行…去不了「三川花祭」的话…「托马老大」会难过…
狐妖: …「托马老大」…会吃了我们的…
「铁之助」: ——呜呶呶！
「银阁」: 怎…怎么办？人类要打过来了…我们又要没有家呶…
「金阁」: 我们…我们混进「三川花祭」吧！只要把人类都吓跑…他们就不会来了！
「铁之助」: 可是我们要怎么混进「三川花祭」…？
河童: 「托马老大」…英明…
「金阁」: 如果…我们变成这三个妖怪的样子…
旅行者: （这是…妖狸们的记忆…？）
派蒙: #旅行者！旅行者！
影: #…旅行者，可有哪里不适？
旅行者: …我没事。
「铁之助」: 唔…吾等…吾等这是在哪…
梦见月瑞希: 欸？「噩梦」不见了？这是…被「净化」了吗？
旅行者: 一些对付深渊的小手段。
「银阁」: 咿——！人…人类！还有好多妖怪！
「金阁」: 我想起来了！人类在办「三川花祭」！要抓吾等…要抓吾等…干什么来着…
鹿野院平藏: 看起来他们还有一点混乱？对人类也还有戒心…
旅行者: 也许跟他们的避世隐居有关…
鹿野院平藏: …避世隐居？
黑屏文本: 向众人描述了刚刚看到的记忆…
派蒙: 呃…难怪他们一直在来回念叨「托马老大英明」，原来就会这一句啊…
派蒙: 仔细想想也对，明明是独眼小僧他们做的「秋津游艺」，这次的活却全是托马干的…从一开始就很可疑啊！
旅行者: 这就是「事后鹿野院」吗…
派蒙: 欸，你是在夸我跟平藏一样聪明吗？
鹿野院平藏: 呵，大概是吧。
八重神子: 听你的描述，他们或许从五百年前就开始避世了，还认识五百藏…不如就去找那家伙问问？反正也近。
影: 保生司正…有五百年未见面了。裟罗、平藏，「二重身」事件已经明朗，但「噩梦」的威胁仍未解除。
影: …你们先回会场继续巡逻警戒。妖狸一族的事，我会亲自处理。
鹿野院平藏 (鹿野院平藏&九条裟罗): 是，将军大人！
九条裟罗 (鹿野院平藏&九条裟罗): 是，将军大人！
旅行者: 说不定我可以试一试…
旅行者: 吉法师他们也是自愿的…
