# Talk Dialog

哲俩阿: 怎么样，荣誉骑士和白色小帮手，捕捉一群被围困的鱼儿，对你们来说应该是小菜一碟吧？
旅行者: 开始捕鱼，开始烹饪！
哲俩阿: 气势真强…期待你们大展身手！
旅行者: 小菜一碟，随便炒炒！
派蒙: 不过…我有点在意，你一句就带过的那些「奇怪信仰的商人」，究竟是怎么回事？
派蒙: 他们搞出了这次的大麻烦，应该要找他们算账才对！
哲俩阿: 那些人啊…大部分不算纯粹的坏家伙，只是太过天真了——
哲俩阿: 他们相信了一则传闻：在做重要的事情之前，放生一些动物，会让自己的运气好转。
哲俩阿: 这样的人从须弥扩散到了提瓦特各地，形成了一个独特的「放生徒」群体。而某些商人嗅到了其中的商机…
哲俩阿: 于是那些奸商提前从各地走私动物，甚至用奇怪的饲料让动物们看起来更华丽，然后将这些动物高价卖给放生徒们。
派蒙: 这也太离谱了！真的会有傻子掏钱干这种事吗？
哲俩阿: 要是不傻，怎么会相信…「放生动物带来好运」这样的事呢？
哲俩阿: 在一些人看来，放生了高价的、瑰丽的动物，获得的「功德」也更多。
旅行者: 不要的摩拉可以给我。
派蒙: 真是的，钱打了水漂，什么都没得到，还给别人惹出大祸…最后只有那些奸商赚的盆满钵满！
哲俩阿: 不过，你们也不用担心。执律庭那边的一位警官已经顺着我提供的线索去追查奸商了，应该不久后就能出结果。
哲俩阿: 这次就不劳荣誉骑士和白色小帮手亲自去捉拿罪魁祸首了！
旅行者: 信这个还不如信我。
派蒙: #对哦，起码给旅行者摩拉，他真的会帮你解决麻烦！
旅行者: 这个先放一边，我们是不是见过？
派蒙: #对哦，看你的服装，好像是须弥人，但你又叫旅行者荣誉骑士，叫我白色小帮手，这些不是蒙德人对我们的称号吗…
哲俩阿: 可以理解你们的困惑。
哲俩阿: 蒙德的居民们都说，你们两位一天能接下七八十人份的工作，那肯定见过成百上千的奇人，就算脑力超强，也记不住我——
哲俩阿: 以前，我也迷信过放生能带来好运，前往蒙德经商时，在果酒湖里放生了一些须弥鱼类，导致了危险的生物入侵事件…
旅行者: 原来是你！
派蒙: 想起来了！那时候，你好像还在果酒湖边野餐？
哲俩阿: 没错，在果酒湖边遇见你们两位后，我才意识到自己的错误，接受我应得的惩罚。
哲俩阿: 好在那时，事态还没发展到不可挽回的地步。西风骑士团的大好人们最终解决了问题，但我一直后怕不已…
哲俩阿: 回到须弥后，我极力警告那些有着放生习惯的人，其中一些被我劝住了，另一些还是不管不顾，甚至把我当成敌人。
哲俩阿: 作为犯过大错的人，我不能看着别人走上我的老路，重复同样的蠢事…
哲俩阿: 所以我就恶补了相关知识，协助教令院的相关机构、配合「三十人团」，对这些放生徒和背后牟利的商人重拳出击。
哲俩阿: 给放生徒们供货的商人通常在多国活动，我也因此辗转各地。最近的目标，如你所见，就是一位枫丹人了。
哲俩阿: 我带着教令院的相关文件和证明，执律庭之前也对相关事件做过备案，我和警官们一拍即合，很快就能把那家伙缉拿归案。
旅行者: 好转变，真替你高兴！
派蒙: 从犯错的人转变成到处阻止别人犯错的人…你让我刮目相看了，哲俩阿小姐！
哲俩阿: 归根结底，我能改过自新，都离不开你们两位的帮助。
哲俩阿: 执律庭为此向我支付了一笔不错的报酬，我只留盘缠，其余的全都转赠你们两位，以表谢意！
旅行者: 有点狠，但是干得漂亮！
旅行者: 还是没想起来…
派蒙: 我依稀有点印象，确实有这么一件事来着…
哲俩阿: 没关系，不谈细节了。总之，在你们的影响下，我才意识到自己的错误，接受我应得的惩罚。
旅行者: 还有别的事…
哲俩阿: 那两位请便！相信下次你们再来时，不消片刻就能解决眼下的问题！
