# Talk Dialog

「花角玉将」: 怎么样，「鬼王的左膀右臂」大人，您是否痛痛快快指挥了「花羽叶月神机」，一骑当千，若出入无人…无敌之境？
旅行者: 确实无敌！
派蒙: 没…没那么夸张吧？我觉得「无敌」这个词，应该说的是…想都不用想，就轻轻松松把对手打趴的情况。
派蒙: #操纵「花羽叶月神机」的时候，我们还是好好思考过战术的。不会像旅行者在冒险中那样，眯着眼睛打败史莱姆。
旅行者: 以鬼兜虫的小身板很强了。
派蒙: 那倒是没错啦…
派蒙: 想起之前，一斗和花角玉将用真正的鬼兜虫挑战幼岩龙蜥…对方只是跺跺脚，这边就全都晕过去了，根本没得打。
「花角玉将」: 机关鬼兜虫超厉害的，对吧？
「花角玉将」: 看见现今「花羽叶月神机」的表现，当初鬼王声称要用机关鬼兜虫之道拓展斗虫的边界，这决定无比正确，富有远见！
「花角玉将」: 当然，学习机关术的难度也令人惊惧。在下听说，璃月的工学和算术课程常让同学龄的外人头晕目眩…这些都是基础。
「花角玉将」: 不知鬼王的算术功底如何…
旅行者: 放在小动物中堪称一绝。
旅行者: 先不谈这个，关于一斗…
「花角玉将」: 哦！忘了告诉你们了，鬼王和在下一直保持着书信来往，虽然看信件的字迹，似乎是忍姐代笔的…
派蒙: 噫，放牛的那家伙，作风还是没变！
「花角玉将」: 稻妻发生的大事，我还是知道的。比如，上次分别后，鬼王举办了「荒泷生命摇滚虹色大巡回」…
「花角玉将」: 那场音乐盛典甚至被人改编成了轻小说，其中鬼王演唱的主题曲故事，也得到了扩写。
「花角玉将」: 忍姐还特别在来信中附带了一本限量印刷纪念版，邮费就花掉了荒泷派不少预算…
「花角玉将」: 虽然小说的销量不好，作品没什么名气，但有一股灵气，在下非常喜欢！
「花角玉将」: 漱玉师父将这本书转交给留云仙君读过，我听说，留云仙君的评价是「颇有几分豪情」。
「花角玉将」: 结合我来访时说明的来意，留云仙君似是有了什么想法，才与萍仙君商量后，创制了「漱玉工奇斗虫大玄境」。
派蒙: 也就是说，这个斗虫秘境有一部分创作灵感…来源于放牛的唱的那首歌？
「花角玉将」: 没错！等到在下修习仙家玄术大成，就要回到鬼王身边，踏踏实实为他打造一个「荒泷撞翻世界斗虫大会」…
「花角玉将」: 咳咳，名字还没想好，得鬼王亲自来起才有那种韵味…总之，在下会努力的！
旅行者: 跟漱玉师父学得如何了…
「花角玉将」: 不瞒大人，在下才刚找到仙家洞府不过几日。但与鬼王分别，似乎快一年了，时间真是无情！
派蒙: 怎么回事，你是被什么麻烦事拖住了吗？
「花角玉将」: 没有啦，其实，在下于《万文集舍》读到了高人的著作，书中说，要想打动仙家高人，「此事不可强求，机缘乃重中之重」…
「花角玉将」: 所以在下没有过分依赖厨神姐姐的指引，只是帮厨神姐姐当了一段时间的原材料搬运工，报答了她和锅巴兄。
「花角玉将」: 随后在下便离开万民堂，去山野间游历了。
「花角玉将」: 在璃月的山间，在下见识到了许多新奇的事物。
「花角玉将」: 比如…使用自动锅的赤红巨鹿，在下远远看见那尊巨鹿将食材投入一口悬空的锅，便获得了香喷喷的料理…真让人大开眼界！
「花角玉将」: 不愧是璃月，连鹿都会使用机关！
派蒙: 这鹿，这锅…好像很耳熟…
旅行者: 是…是吗？
「花角玉将」: 多谢那尊赤红的巨鹿，在下受到启发，向工匠定制了自动研磨与煮制抹茶的机关，并在奇妙的仙家迹象多发之地煮茶…
「花角玉将」: 结果，漱玉师父就循着香味找了过来，在下这才得到机会，正式拜访仙家洞府。
「花角玉将」: 这大概就是书里所说的「机缘」吧——也可以理解成「因为机关的缘故」，妙啊，妙啊…
旅行者: 是…是吧？
派蒙: 真的是这个意思吗…
旅行者: 对…对吗？
旅行者: 对…对吧？
旅行者: 下次再来一骑当千。
「花角玉将」: 嗯！先忙完别的事，再来安安心心享受极致的斗虫吧！
