# Talk Dialog

旅行者: 想一起聊聊天吗？
蓝砚: 那我想要聊…唔…就聊一聊此时此刻你的心情吧！
蓝砚: 没错，就现在，这一分钟这一秒钟你的心里正在想什么呢？
旅行者: 突然这么问，有点答不上来…
蓝砚: 对吧对吧！
蓝砚: 不知道你有没有发现，我对你的了解好像比你对我的少得多。
蓝砚: 你看，我们聊过好多好多…我的爱好啊，烦恼啊，出糗的瞬间啊…
蓝砚: 可关于你，我只知道你有很多了不起的经历，还有很多非常重要的事情等着你去完成…
蓝砚: 噢，我不是说这样不好，只是…「过去」和「未来」加起来应该不能等于一个人的「全部」吧？
蓝砚: 总感觉大家都很容易忽视「现在」…
蓝砚: 有过「走很远的路都不会累」的记录，所以哪怕现在脚很痛了，也要咬着牙继续赶路。
蓝砚: 计划一天要完成很多事情，所以即使早早困了也不肯去睡觉…
蓝砚: 你每天好像比筑巢的燕子还忙，我还挺好奇这种状态真是你当下想要的吗？
旅行者: 当然，这样很充实！
蓝砚: 啊——？出乎意料的答案！
蓝砚: 我还以为你会哭诉说你真的累了呢。
蓝砚: 哈哈，也好。这是最好不过的答案，至少说明你从内而外都是那么有活力！
蓝砚: 呼…那我就不用担心了。来，快陪我再聊几句。
蓝砚: 快告诉我像你这么忙的人会睡懒觉吗？你左手和右手能各自做完全不相干的事情吗？
旅行者: 我真的累了…
蓝砚: 嗯…我们又不是银器工艺品，不需要被千锤百炼，累了就歇会吧！
蓝砚: 听我的，你现在闭上眼睛，脑海中浮现的第一个画面是什么，我们就去做什么。
蓝砚: 是好吃的？还是好看的风景？
蓝砚: 什么？！是冒险手册上没做完的委托清单？
蓝砚: 哎…看来不解决这个问题你是歇不住了…
蓝砚: 好吧，我们一起去，但要两天后才能出发哦。
蓝砚: 因为我现在不想去，我要尊重自己「现在」的想法，给你做个好榜样。
蓝砚: 可以在你的手册里插入一条紧急委托吗？那就是陪我好好放两天假吧！我倒是真的累了…
