# Talk Dialog

旅行者: 想了解些事情。
慧心: 啊好的，在能回答的范围内我会尽可能解答。
旅行者: 关于璃月…
慧心: 嗯？这么问的话，您是从国外来的吗？
慧心: 啊，没关系，我们璃月人是不会排外的。璃月作为商港，倒不如说外国人少的话才是令人苦恼的事。
慧心: 在岩王帝君的引导下，璃月发展至今已经有千年的历史。
慧心: 先民冶炼矿石、制造琉璃，发展与海外城市的贸易，积累了海量的财富。
慧心: 最值得自豪的便是全提瓦特流通的货币「摩拉」是由璃月的「黄金屋」所铸造，更是以岩王帝君的本名「摩拉克斯」来定名的。
旅行者: 关于「七星」…
慧心: 「七星」的话，可以说是我的上司…只是介绍下的话应该不算背后议论上司吧？哈哈…
慧心: 「七星」即璃月常驻议事委员会，也是负责处理璃月政事的七位大商人的统称。
慧心: 群玉阁的凝光大人你应该听说过吧？「七星」中每一位都是举手投足便能影响整个商界的大人物。
慧心: 他们会负责贯彻岩王帝君的方针，决议要事，如同岩王帝君的手足一般。
旅行者: 能多介绍一些「七星」的事吗？
慧心: 嗯…实际上「七星」在内部是有明确分工的。
慧心: 除您熟知的「天权」凝光大人之外，「玉衡」刻晴大人则主掌土地与建设等方面的工作。
慧心: 毕竟璃月幅员辽阔，必须要严格规划好发展方向才行…
慧心: 其他几位「七星」大人也都在各自的领域有所建树，是璃月港今日繁华的依托。
旅行者: 这里是？
慧心: 这里是月海亭，「七星」议事的场所，影响整个璃月的很多重大决议都是在这里做出的。
慧心: 服务「七星」就是服务整个璃月，能在这里做事是我的荣幸。
慧心: 有时候在这月海亭，觉得自己举手投足都好像威严起来了一样，呵呵。
慧心: 现在那些「大人们」都不在，估计在忙自己的生意吧。
