# Talk Dialog

梦见月瑞希: 我用我的能力缓冲了一下，大家应该都没事吧？
派蒙: 没事没事，这点高度算不了什么。话说回来，刚刚明明就要追上了，真可恶！
梦见月瑞希: 最后还是被隔绝了，那只魇已经完全掌控了他的意识，终究没有赶上…
派蒙: 瑞希，我们能不能先醒过来，直接去现实里抓这个人，他现在应该正在打盹吧？
梦见月瑞希: 还记得我们进来之前闻到的那种香气吗？那是魇诱人入梦的手段，在打倒它的本体之前，我们可没办法脱身。
梦见月瑞希: 它现在寄生在江村中弥的噩梦里，只有想办法吃掉这个噩梦，才有可能让它的本体暴露出来。
派蒙: 吃掉这个噩梦？能办到吗？
梦见月瑞希: 派蒙，这可是我们食梦貘的本职工作。
派蒙: 不，我的意思是这个噩梦的强度肯定很高，瑞希会不会也变成阿紫她们那样？我很担心…
梦见月瑞希: …这只魇已经影响到了太多人，我们没有时间犹豫了。
旅行者: 瑞希…
梦见月瑞希: 我说过了，我有好好做准备，先开始行动吧。
梦见月瑞希: 嗯…刚刚也不是一无所获，我们追逐他的时候一步步深入了他的梦境，这里应该就是构成梦境核心的潜意识了。
派蒙: 好黑…
梦见月瑞希: 任由潜意识里的负面情绪发酵，就会变成这样…
梦见月瑞希: 这里肯定散落着很多情绪碎片，我们要沿着这些碎片一个个找过去，直到到达目的地。
派蒙: 目的地？哪里是目的地？
梦见月瑞希: 光亮所在的地方。
