# Talk Dialog

芭别尔: 抱歉，部落事情繁杂…请问有什么事情吗？
旅行者: 关于叛徒…
芭别尔: 啊，真是丢人…让你看到了家贼作乱的麻烦。
芭别尔: 不过请你放心，有婕德帮忙，阿德菲一定会很快束手就擒的。
旅行者: 阿德菲真的是叛徒吗…？
芭别尔: 他已经玷污了部族的名字…这就意味着他忘记了母亲的名字，应当接受惩罚。
芭别尔: 就像国家、城邦一样，部族也需要严格的法度。我想你一定理解。
旅行者: 我担心证据并不充分…
芭别尔: 嗯…你是城里人，自然会更注重「证据」、「疑点」，我可以理解。
芭别尔: 但在塔尼特，他已经玷污了部族的名字…这就意味着他忘记了母亲的名字，应当接受惩罚。
旅行者: 关于婕德…
芭别尔: 婕德吗？她是个好孩子。在部落学得很快，也很能吃苦…从没见她抱怨过。
芭别尔: 呵呵，说起来，塔尼特部族和她的父亲还有过一些小小的过节。真的是很遗憾…
芭别尔: 但我很高兴婕德回来了，虽然那孩子的父亲…唉，这也算是迟来的和解吧。
芭别尔: 那孩子也很喜欢你，我看得出来。
芭别尔: 所以…请不要辜负她的友谊。
旅行者: 关于阿萨里格…
芭别尔: 他是我的「儿子」，虽然不是亲生的…我很信赖他。
芭别尔: 聪明，忠诚，强壮，道德上从不挑剔，又懂得讨好任何人。像狼一样，从来没有让我失望过。
芭别尔: 只是可惜了…他是个男人。
芭别尔: 如果他是个女人，或许就可以接替我的位子了吧…那样的话我也终于可以退休，带着孩子们去经营驮兽商队了。
芭别尔: 呵呵…不过还好，我还有婕德。
旅行者: 再见。
芭别尔: 再见，希望这次探险你们能够一路平安。
