# Talk Dialog

罗莎莉亚: #旅行者，又见面了…
旅行者: 要不要聊聊天？
罗莎莉亚: 也行吧。是有什么想问我的？
旅行者: 关于法尔伽…
罗莎莉亚: 哦。他写的信，芭芭拉已经拿给我看过了。
罗莎莉亚: 她还在牵挂她父亲西蒙。「所有成员平安无事」那句，差点就要沾上泪痕了。
罗莎莉亚: 嗯？你问我吗？
罗莎莉亚: 法尔伽…你认为我应该把他当做父亲来看待，对吧？但我没法像别人家的女儿那样担心他。
罗莎莉亚: 如果他拿不出足够的勇气和实力，就不配带领那么多人。这样的人，不需要我们太过操心。
旅行者: 关于雷泽…
罗莎莉亚: 这么说，他最后想清楚了？
旅行者: 至少不会迷茫了。
旅行者: 算是有了方向。
罗莎莉亚: 听上去离独立还有些距离。不过，每个人有每个人的活法。
罗莎莉亚: 挺好的，也算你们的努力没有白费。
旅行者: 关于「佳酿节」…
罗莎莉亚: 原本以为熬到节日，总算可以在酒馆里泡一整天。结果哪边的工作都比平时更忙。
罗莎莉亚: 就算溜到这种地方也不能放松，谁知道维多利亚和塔利雅会不会突然抓我去唱诗。
罗莎莉亚: 唉，这节日还是早点过去吧。
旅行者: 先不打扰你了。
罗莎莉亚: 嗯。不过别和其他人提起我在这里，我暂时还不想换地方。
