# Talk Dialog

香菱: #是旅行者！好久不见，昨天我还和锅巴提到你呢，今天就在路上遇到了。
香菱: 哎呀，这就是冥冥之中的缘分吧。
香菱: 哦对了，你这是要去哪儿呀？
旅行者: 正打算给这座桥留影。
香菱: 留影吗？好巧好巧，我最近也在研究留影。
香菱: 万民堂门口的海报用了这么久，也该换张新的了。
香菱: 如果能给菜品拍出漂亮的画片，路过的食客们说不定也会多看上两眼。
香菱: 老话说：十分佳肴，菜色三分，香气三分，味道三分，还剩一分就靠广告。
香菱: 当然，最后半句是我自己加上的啦。
香菱: 前面那些我父亲常挂在嘴边，对所有厨师来说都是金玉良言。
旅行者: 香菱真努力啊。
香菱: 谢谢你的夸奖。
香菱: 要搜寻珍奇食材，要创作新菜肴，还要学习怎么打广告，我的厨艺修行之路还长着呢。
香菱: 哈哈，说起来，从我们第一次见面到现在，过去了好久。
香菱: 但很多事情都没有变，你还在旅行，我也还在创作新菜。
香菱: 我想把万民堂一直开下去，开得越来越好。
香菱: 就算我变成了老奶奶，只要胳膊还有力气，我就还要掌勺，把红火美味的菜肴一道道从锅里带到盘里。
香菱: 你要记得经常过来吃饭哦。
旅行者: 我会的。
香菱: 那就约好啦。
香菱: 扯远了，我记得你刚说要拍画片，需要我帮忙吗？
旅行者: 想请你一起入镜！
香菱: 啊，好呀，小事一桩，你觉得什么姿势好？
旅行者: 端正的姿势。
香菱: 这样吗？
旅行者: 很棒！我们开始留影吧！
香菱: 我准备好了。
旅行者: 还是有趣的姿势合适。
香菱: 好，那就这样。
旅行者: 还是开心的姿势合适。
香菱: 好，那就这样。
旅行者: 还是端正的姿势合适。
香菱: 好，那就这样。
旅行者: 有趣的姿势。
旅行者: 开心的姿势。
旅行者: 看情况。
香菱: 你是担心到时候你会走不动路，过不来吗？
香菱: 如果那样的话，写信给我好了，我可以给你寄些容易保存的食物。
旅行者: 香菱不累吗？
香菱: 怎么会，自己喜欢的事情可是越做越有劲。
旅行者: 正打算找人留影。
