# Talk Dialog

梦见月瑞希: 有一种理论认为，人类最真实的喜怒哀乐都藏在梦境的最深处——那也正是我准备探索的地方。
梦见月瑞希: 在探索正式开始之前，我要问一些问题，同意就点头，不同意就摇头，好不好？
梦见月瑞希: 很好，我会对你进行一些心理暗示，不要紧张，这是为了提高你的睡眠质量，让治疗效果更好。
梦见月瑞希: #怎么了？难道旅行者还是个小孩子，要跟医生讨颗糖吃才肯听话？
梦见月瑞希: 还想继续试探我的反应吗？
梦见月瑞希: 如果你想放松颈部的话，我可以给你推荐一套更标准的动作。
梦见月瑞希: #旅行者？还没到需要睡着的时候呢。
梦见月瑞希: 这种熏香是我从须弥带回来的，可以安定心神，据说它能释放出「梦境的幽香」呢。
梦见月瑞希: 请先闭上眼睛，深呼吸，仔细品味一下这种香气。
梦见月瑞希: 接下来的环节需要一些视觉上的准备，我说睁眼的时候才可以睁开哦。
梦见月瑞希: 放哪里了呢？
梦见月瑞希: 唉，下次阿紫还东西的时候得叮嘱她好好摆放…
梦见月瑞希: 嗯…这里需要再添一笔。
梦见月瑞希: 呼，这样就好。
旅行者: 瑞希在找什么？看一眼应该没问题吧？
梦见月瑞希: 我发现啦，还没准备好呢。
梦见月瑞希: 小家伙们，别乱跑。
梦见月瑞希: 你来这里。
梦见月瑞希: 屁股没藏住，唉…
梦见月瑞希: 好了好了，嘘！
旅行者: 小家伙？好好奇啊…悄悄看一下？
梦见月瑞希: 唉，让我来帮你好了。
梦见月瑞希: 看得出来你不喜欢等待，那就请睁开眼睛吧，已经准备好了。
梦见月瑞希: 准备好了，请睁开眼睛。
梦见月瑞希: 一直乖乖地闭着眼睛，你是个很让诊疗师放心的客人哦，这个就当是奖励吧。
梦见月瑞希: 仔细看一下这张画，里面藏着几个很特别的小家伙，我希望你能把她们找出来。
梦见月瑞希: 注意到了？这个小家伙很可爱吧？
梦见月瑞希: 接下来把其他小可爱也找出来吧。
梦见月瑞希: 是觉得眼睛酸痛了吗？那就先放松一下。
梦见月瑞希: 当心，与心理诊疗师四目相对的话，各种小心思都会被看穿的。
梦见月瑞希: 她也是我们食梦貘一族的成员哦，总是会在「入梦」的路上等待着开始打瞌睡的人。
梦见月瑞希: 你寻找她们的时候，「入梦」的过程就已经开始了，有些困了吧？
梦见月瑞希: 现在，请握住我的手。
梦见月瑞希: #嗯？难道旅行者在害羞？这只是一种传达心理暗示的手段而已。
梦见月瑞希: 很好，现在请再次闭上眼睛。
梦见月瑞希: 首先放轻松，仔细体会我掌心的触感，让其他的感觉慢慢远离自己…
梦见月瑞希: 接下来，想象你最喜欢触摸的东西。
梦见月瑞希: 你拂动着轻柔飘落的樱花瓣，你抚摸着小松鼠柔顺的皮毛，你揉搓着海边细腻的泥沙…
梦见月瑞希: 你再次来到旷野，追着风奔跑。但是逐渐失去了手心的触感，你迷失了方向，奔入一片黑暗。
梦见月瑞希: 你什么都看不到，但你听到有人在呼喊你。声音传来的方向，也传来了光亮…
