# Talk Dialog

旅行者: 有什么想做的吗？
克洛琳德: 嗯…要来玩有关「决斗」的游戏吗？
旅行者: 我先问问怎么玩…
克洛琳德: 很简单，用「命运示数牌」来决定决斗的规则和使用的武器。我以前和师父常玩，不过那时用的是骰子。
旅行者: 如果骰到了「大失败」…
克洛琳德: 那么很抱歉，你必须绑住自己的双手双脚来和我决斗。
旅行者: 我以为「决斗」要讲求公平…
克洛琳德: 的确。但那是审判庭上用来自证名誉的决斗。这个游戏是用来锻炼逐影猎人野外生存能力的。
克洛琳德: 有时候，你就算是断了腿，又折了胳膊，依然需要同魔物战斗。
克洛琳德: 「永远不能停止思考如何胜利」——这是师父教给我的。
克洛琳德: 她也有次运气非常不好，武器还只骰到了一根小树枝，结果我还是输了。
克洛琳德: 不论如何，这都是一个充满随机性的游戏，尝试一下自己极限也未尝不可。输了马上重来就行。
克洛琳德: 怎么样？你准备好了吗？
旅行者: 来…来就来！
克洛琳德: 嗯，你的眼神比你自认为的更加坚定。我欣赏。
克洛琳德: 那就开始吧，输了的请吃饭。
旅行者: 如果骰到了「大成功」…
克洛琳德: 那么恭喜你，你可以选择自己最顺手的武器，外加一次无视致命攻击的机会。我要击中你两次才能赢。
旅行者: 我以为「决斗」要讲求公平…
克洛琳德: 的确。但那是审判庭上用来自证名誉的决斗。这个游戏是用来锻炼逐影猎人野外生存能力的。
克洛琳德: 但有时就算运气再好，准备得再充分，优秀的逐影猎人也还是会因麻痹大意而败在魔物手下。
克洛琳德: 「大成功」，反倒有可能成为「大失败」的伏笔。
克洛琳德: 我运气不算差，在游戏中经常骰出好点数，却常常在自以为获胜的时候被师父反杀。
克洛琳德: 「猎物在自以为是的时候，才最容易捕获」——这是师父教给我的。
