# Talk Dialog

狐妖: …河童！河童！
梦见月瑞希: 请让一让——让我来看看！
派蒙: #啊…瑞希？还有旅行者！你们可回来了！
九条裟罗: 将军大人！…属下无能，竟在天领奉行的戒备之下，发生这种事情…
影: 事已发生，此刻就不要把心力用在自责上了。有谁目击到袭击的瞬间了吗？
九条裟罗: …惭愧，没有。奉行众完全没有发现敌人的踪迹…
独眼小僧: 我们就只是跟他分开了一会，一回头就发现他倒下了！
狐妖: 呜呜…一定…一定是有可怕的大妖怪…
鹿野院平藏: 现场也没有妖狸变化以外的妖力痕迹…难道是犯人的手法改良了？
旅行者: 刚刚的「二重身」也是…
鹿野院平藏: 等等…你是说，在稻妻城内，也出现了异常？
旅行者: 是的，大概是这样…
鹿野院平藏: 「二重身」…「噩梦」…稻妻城和影向山…
八重神子: 瑞希，你那边怎么样了？
梦见月瑞希: 奇怪，我似乎「感知」不到他的噩梦。就像…面对一个死物。
独眼小僧: 一定…一定是大妖怪…变得更厉害了！
狐妖: 河童…呜呜…你不要死啊…
九条裟罗: …此事责任在我！没有预料到敌人，还有这般手段…
影: 不，是我低估了敌人…自以为能同时守住「三川花祭」，跟所有人的平安。
影: 裟罗，其他选手和工作人员现在的状况如何？
九条裟罗: …没有异常。为了以防万一，属下已请求社奉行家主，将他们转移保护。
影: 好…那现在，我宣布「三川花祭」就此中止——
八重神子: 等等——
影: 神子…你还有什么话要说？
八重神子: 我只是觉得，你有点操之过急了。担心民众的安危是好事，但如果事事不假思索，只会遂了敌人的意。
八重神子: 我知道你比所有人都更忌惮「噩梦」…但你难道真觉得，我们这次面对的敌人…就只是「噩梦」吗？
影: …这是何意？
八重神子: 不过是一种直觉罢了。想要「真相」，不如来问问这位鹿野院同心？他似乎已经有眉目了。
鹿野院平藏: …宫司大人谬赞了，我也是刚想到几个推测。
鹿野院平藏: 「噩梦怪物」的痕迹虽然时隐时现，但一直没有远离影向山下…这次却突然在稻妻城中出现了「二重身」。
鹿野院平藏: 如果犯人混入会场，是为了逃脱对「噩梦怪物」的缉捕…那也没理由时不时变出「二重身」来暴露自己。
鹿野院平藏: 与其考虑「噩梦怪物」突然有了神出鬼没的能力，不如考虑另一种可能…
旅行者: 毫无征兆地出现在城内…
