# Talk Dialog

荒谷: 真让人惊奇！你们以前研究过驯兽吗？如果刚刚上手，就能这么轻松地连胜三场，未免也太有天赋了！
旅行者: 恭喜我们呀。
派蒙: #哈哈，旅行者学什么都很快哦！
派蒙: 如果荒谷小姐跟着我们去冒险，就会接触到更多很新奇的事物了，但那些事物总是只给我们一丁点时间去适应！
荒谷: 当真？
荒谷: 原本我以为，这样的人只会在顺吉那种夸张的小说里出现…今天算是见识到了！
荒谷: 以后我再也不会对顺吉那种「给角色突然增加能力」的设定发表负面评论了！
旅行者: 这个先放在一边，左右加…
派蒙: 对哦，荒谷小姐在这里闲逛，左右加小姐去哪了呢？
荒谷: 左右加啊？她好像很快就打起精神来了，说是规划好了新书的核心桥段，但还需要为日常的部分寻找灵感…
荒谷: 所以她就去找熟悉本地环境的人了，正在规划接下来的旅途。
旅行者: 还好还好。
派蒙: 左右加小姐从失败的挫折里走出来了，我们也能松口气了呢。
旅行者: 神子不也一样吗？
派蒙: 就是啊，听说神子每次都把对手打得丢魂落魄！以神子悠哉的作风，肯定还没拿出全力！
荒谷: 来了来了，进入了我熟悉的「商业互夸」环节！
荒谷: 那么我就要提问了——旅行者和八重大人孰强？
荒谷: 注意哦，我问的是这场比赛中的战斗力。假设你们和八重大人狭路相逢，谁会赢？
派蒙: 欸？好突然！脑子一下子转不过来了…
派蒙: 回答不知道，好像太敷衍了…现在就说我们会赢过神子，又属于大不敬的行为？那直接认输，又太软弱了，不甘心！
旅行者: 比较战斗力没有意义。
派蒙: 有…有道理！差点就被荒谷小姐神子带偏了！神子自己也说过，她只是来体验一下驯兽罢了，根本没必要提这种问题嘛。
荒谷: 何等标准的答案！是「不会得罪任何人」级别的台词，直接让话题向着下一个阶段发展，收不回来了！
荒谷: 果然，你们才是被整个世界选中的「主角」吗！我开始期待了，你们两位的角色在左右加的新书里会有怎样一番表现！
派蒙: 怎么荒谷小姐也开始神神叨叨了，是左右加小姐的气质感染了她吗…
旅行者: 重要的是和伙伴们共处。
