# Talk Dialog

荒谷: 这种时候…怎么联系这两位老师呢…
旅行者: 联系什么？
荒谷: 欸！是旅行者啊，你…你来得正好，我正有事想请人帮忙呢。
荒谷: 是这样，「八重堂」一年一度的小说比赛就快要开始了，按照惯例，我们打算邀请几位作家老师来当评委。
荒谷: 但是…有两位老师并不是稻妻人，目前也不在稻妻国内。
荒谷: 您也知道，路途遥远，舟车劳顿，专程请两位老师到场实属大动干戈…
荒谷: 他们愿意到场是最好。但无论两位老师意愿如何，我们如果不知会一声，也不太合适…
荒谷: 所以我就想着，至少托人送点礼物过去，也算是不失了礼节，顺便还可以再附信一封，预约一下往后的稿子，咳…
荒谷: 不知道，您意下如何呀？
旅行者: 交给我吧。
荒谷: 那就拜托你了，旅行者。
荒谷: 那两位老师一位叫「枕玉」，一位是叫…常九爷。
荒谷: 常九爷的小说《古华派的大师兄》，叙述的是一个出身古典宗门的璃月大师兄与异国的稻妻小师妹之间的江湖故事。
荒谷: 要我说的话，题材和剧情其实都有些老套了，但好在还有一些读者买账，销量也还可以。
荒谷: 我们也总结过几封意见信，托人带给常九爷，希望能帮助他在后续的作品里做出一些突破…
荒谷: 但信寄出去之后却一直杳无回音，也不知道是送丢了，还是怎么回事…
旅行者: 「枕玉」是谁？
荒谷: 那我可不知道，应该是这位老师的笔名吧。
荒谷: 这位老师写的《沉秋拾剑录》？这可是引起轰动的著作！
荒谷: 无论是设定还是剧情，都大大地引领了一波创作的风潮。
旅行者: 那我要去哪找这位老师…
荒谷: 呃…这个…这位老师应该也是在璃月。据那位把这本《沉秋拾剑录》带回稻妻的客商说，他是在「万文集舍」里看见的这本书。
荒谷: 我想，问问「万文集舍」的人，应该就能找到这位老师了。
荒谷: 不过…咳！先不说这些了，这些礼物和信件请你拿好了，这件事就拜托你了。
旅行者: 那两位老师分别是谁？
