# Talk Dialog

五百藏: 金阁、银阁、铁之助啊…其实人类也不全是坏人，比如那边那个黄毛的小辈，就曾经帮过吾等很多忙…
派蒙: 而且要说的话，当初妖狸被人封印，也是因为五百藏先偷了重要的梳子吧…
「铁之助」: 五百藏…小偷被抓，活该呶？
五百藏: …谁谁谁知道那是拿来做「神樱大福」的呶！而且不是还给你们了吗！
「金阁」: 那就是人类不好？
五百藏: 呃…要说的话，就是吾辈跟那个人类小辈斗法…然后一时大意…然后愿赌服输…总之就是没有哪边不好！
派蒙: 这家伙只要一不利于自己就会疯狂扯开话题呢…
八重神子: 无论如何，这下你们应该清楚了吧，现在没有人类想要害你们。
「铁之助」: 所以…那都是一场「噩梦」呶…
「银阁」: 吾等…是白白躲了五百年吗…
五百藏: …哼。你们跟稻妻所有人玩了五百年捉迷藏，有什么不好的？…而且还赢了。
「金阁」: 对哦？吾等赢了呶？…吾等好厉害！比五百藏还厉害！
五百藏: 喂——吾辈的「捉迷藏」可还没分出胜负呶！
派蒙: 有时候真羡慕妖狸…心态居然能这么好…
梦见月瑞希: 正因为妖狸天性如此，所以即使被「噩梦」侵染，依旧没有犯下过大错吧。
梦见月瑞希: 不过，那到底是谁的噩梦？居然能延续五百年，还在继续影响别人？掩埋在影向山地下的断角…
旅行者: 似乎听说过相关的传说…
八重神子: 「…昔年沉湎于漆黑景色的鬼族武者，向大御所大人拔刀，被斩去一臂一角，远遁山林，从此不知所踪。」
八重神子: 「…将军麾下的爱将，曾深入漆黑的渊薮，被虎躯蛇尾的世外之兽噬啮，之后她破开虎腹而出…」
八重神子: 因此得名…「虎啮的千代」…「虎千代」。
影: …千代她，一定不喜欢这个名字。
影: 虽然从魔物腹中脱身、从战场上活了下来…但她却从未离开过那片战场。
影: 同行者被撕碎的记忆反复在她的眼前重演，渐渐地，她再也分不清现实与梦境…
旅行者: （实力强大之人…没有被噩梦夺走行动能力…其自身却成为了更深重的噩梦…）
影: …无论是部下、亲族，还是朋友，世间所有的美好与喜乐，都在梦中被扭曲为必须抹灭的仇敌。
影: 她就这样一直被困于梦中的战场…直到她向我拔刀。于影向山上与我交战。
影: 「无想的一刀」最终斩去了她的一臂一角，也削断了部分山体…想来那只断角，就是在那时被掩埋的吧。
八重神子: 没想到那只角，后来会被妖狸们给挖掘出来…而且还残留着千代噩梦的一角残片。
梦见月瑞希: #噩梦会以恐惧与不安为食粮，那么按旅行者之前见到的情景…
梦见月瑞希: 它说不定已经靠金阁他们五百年来的恐惧，获得了实体，成为了类似「地缚灵」的东西。
旅行者: 「地缚灵」？
梦见月瑞希: 嗯，地缚灵在地脉中穿行，但也被地脉限制，所以妖力痕迹总是时隐时现，范围也始终在影向山附近。
八重神子: 这个「噩梦残片」，看起来跟当初的主人一样，仇视着所有的美好与喜乐啊。
八重神子: 袭击了畅想着未来的幕府调查队，袭击了热心去救助的独眼小僧一行…
派蒙: 然后又袭击了游乐了一整天、心满意足的我们…
旅行者: 那它之后为什么不出现了？
影: 也许是被你击败后实力大损，需要休养；也许是残存的理性意识到无法击败你，所以蛰伏了起来…
影: …但被「噩梦」扭曲的仇恨，迟早会驱使它再度现身，袭击它眼中的「敌人」。
影: 因为千代…从不会放弃认定的目标。
八重神子: ……
影: …不过这两种可能，都证明「噩梦残片」是可以被击败的。
影: 凡是能「杀死」的东西…以「梦想一心」的威能，就定能斩断。
梦见月瑞希: …难道就没有其他的办法吗？
影: 「御舆千代」已殁，留在这世上的不过是「噩梦」的一角残片。眼下当以生者为重，已逝之人…无需挂碍。
