# Talk Dialog

「花角玉将」: 「鬼王的左膀右臂」殿下，有什么我能帮你们的事吗？
旅行者: 给我也整一只鬼兜虫！
「花角玉将」: 好！完全不在话下！
「花角玉将」: 不过，斗虫强者和鬼兜虫之间的相性，还需要很长的时间来观察…
「花角玉将」: 凭借之前和您斗虫的经历，我大概能推测出最符合您斗虫风格的鬼兜虫。当然，对我而言也是一个重大的考验。
「花角玉将」: 我得好好想想了，要去什么样的地点，才能抓到那种鬼兜虫…
「花角玉将」: 就要麻烦您耐心等待了，希望下次见面时，我能给你一份完美的答卷！
旅行者: 关于送礼的事…
「花角玉将」: 啊呀，你是说我们要给那位大师的礼物吗？
「花角玉将」: 说实话，我一时还没有很好的点子…
「花角玉将」: 那位大师能制作出无比精妙的「花羽叶月神机」，或许，买些精密的机械加工设备，好好包装在礼盒中，能让那位大师满意…
「花角玉将」: 不过我手里只剩两百万摩拉了，怕是很难买到最顶尖的装置，入不了那位大师的法眼。
「花角玉将」: 而且我也不知道要在璃月待多久，自己吃住也要花费摩拉，得想想办法扩充行动资金了…
旅行者: 两百万好像也不少吧…
「花角玉将」: 小部分是我平常节省伙食费攒下来的，大部分是我祖父给我的。
「花角玉将」: 我的祖父以前是很厉害的冒险家，每次带着他的鬼兜虫出远门，都会被好运眷顾，找到一大笔财宝。
「花角玉将」: 所以他非常支持我的斗虫事业，每隔一段时间，都会给我一笔存款，我也没有乱花，总有一天要把这笔钱花在最重要的地方！
「花角玉将」: 之前，我看荒泷派的经济情况实在不好，提出要支援鬼王一笔资金，鬼王每次都拒绝了，还说…
「花角玉将」: 「哪有让盟友出钱的道理！本大爷和荒泷派可是有骨气的！」
「花角玉将」: 我尊重鬼王的气节，所以，买到了送给那位大师的礼物后，我也会向鬼王报销的…不管需要几百万摩拉！
旅行者: 这些钱都是你自己的？
旅行者: 回见了，玉将！
「花角玉将」: 好啊，您先忙，「鬼王的左膀右臂」殿下！
