(Quest is part of chapter: 邀约事件·诺艾尔 第一幕 骑士修行之道)

# 实战练习


## Talk 1

[Missing Talk]: Talk 1906510 could not be retrieved

## Talk 2

[Missing Talk]: Talk 1906513 could not be retrieved

## Talk 3

派蒙: 就是这里了，先从岩史莱姆开始吧。

## Talk 4

[Missing Talk]: Talk 1906511 could not be retrieved

## Talk 5

[Missing Talk]: Talk 1906502 could not be retrieved

## Talk 6

[Missing Talk]: Talk 1906503 could not be retrieved

## Talk 7

[Missing Talk]: Talk 1906512 could not be retrieved

## Talk 8

[Missing Talk]: Talk 1906504 could not be retrieved

## Talk 9

[Missing Talk]: Talk 1906505 could not be retrieved

## Talk 10

[Missing Talk]: Talk 1906506 could not be retrieved

## Talk 11

[Missing Talk]: Talk 1906507 could not be retrieved

## Talk 12

[Missing Talk]: Talk 1906508 could not be retrieved

## Talk 13

[Missing Talk]: Talk 1906509 could not be retrieved
