(Quest is part of chapter: 序章 第一幕 捕风的异乡人)

# 林间相会


## Talk 1

[Missing Talk]: Talk 35501 could not be retrieved

## Talk 2

[Missing Talk]: Talk 35502 could not be retrieved

## Talk 3

[Missing Talk]: Talk 35503 could not be retrieved

## Talk 4

[Missing Talk]: Talk 35504 could not be retrieved

## Talk 5

[Missing Talk]: Talk 35505 could not be retrieved

## Additional Conversations

*Conversations not present as sub-quests.*


### Additional Talk 1

Unknown Role (None): 从没见过这样的石头…没法确定它是什么。

Unknown Role (None): 只能知道它很危险。先保管起来吧。

Unknown Role (None): 嗯，回收完毕！我们赶紧离开这里。

### Additional Talk 2

Unknown Role (None): 好险，差点被吹飞啦！

Unknown Role (None): 还好抓紧了你的头发，谢啦。

Unknown Role (None): 还好头发没掉。

Unknown Role (None): 还好没被那条龙盯上。

Unknown Role (None): 刚才发生了什么？还以为要被吃掉了。

Unknown Role (None): 肯定和那个跟龙说话的怪人有关系…

Unknown Role (None): 这个世界，居然有龙…

Unknown Role (None): 嗯，我明白你的担心…

Unknown Role (None): 跟龙说话是正常的吗？

Unknown Role (None): 当然不正常…

Unknown Role (None): 欸？那是什么？

Unknown Role (None): 那块大石头上，闪着红光的…？

Unknown Role (None): 我们靠近一点看看。
