# Talk Dialog

丽莎: 呵呵，还是这样悠闲的日子更适合我啊…
旅行者: 要不要聊聊天？
丽莎: 好呀，小可爱。哎呀，可惜手边没有茶水招待你。
旅行者: 关于法尔伽…
丽莎: 知道大团长专门给我写了留言的时候，我也挺意外的。
丽莎: 没想到他在外奔波那么久，心里还一直念着雷泽。
丽莎: 明明他对琴就很严格呢…佳酿节的大小事务都留给了琴去伤脑筋，连句慰劳的话都没有。
丽莎: 等他回来，我可得好好为琴出口气啊。
旅行者: 关于雷泽…
丽莎: 说起来，「雷泽」这个名字，我一直以为是大团长为他取的…
丽莎: 原来是他亲生父母早就想好的啊。
丽莎: ……
丽莎: 嗯，没错，雷泽和我说了，他听到了父母的声音。
丽莎: 「像蹭到了被太阳照着的石头一样，又暖又重。」
丽莎: 在他心中，他们一定是亲切而又厉害的人吧…
旅行者: 关于「佳酿节」…
丽莎: 本来想犒赏自己，只是小酌一杯的。
丽莎: 但佳酿节限供的葡萄酒，风味确实独特…
丽莎: 等我回过神来的时候，发现自己都已经有些醉意了，呵呵…
丽莎: 小可爱，不要学我哦。
旅行者: 先不打扰你了。
丽莎: 嗯，累了就歇一会儿吧。看你总是那么忙碌，还挺心疼的。
