# Talk Dialog

温迪: 想不到你会来到这里呀，莫非…你是顺着风中的酒香，一路找过来的？
旅行者: 要不要聊聊天？
温迪: 好呀，真想多听听你的声音。
旅行者: 关于祝福…
温迪: 祝福？哦，你说那个啊。
温迪: 偷偷告诉你，还好大家举杯的时候没有把心愿说出口，否则我就要下不来台了，因为…啊哈哈，风神巴巴托斯的本事很有限嘛。
温迪: 为了吹起来自遥远过去的风，我可是做了一个很长很长的深呼吸，差点缓不过这口气呢。
旅行者: 关于雷泽…
温迪: 那个孩子成长得那么快，我也很欣慰。
温迪: 嗯，用这种口气说话，一下子变得像极了老爷爷呢。
温迪: 这次，还要多亏有你们这些好朋友一路支持着他。
温迪: 善良、温柔，也不乏浪漫和自由…不愧是喝着果酒湖的水长大的蒙德人。
温迪: 至于你嘛…放心，你是我见过最温柔的人了。
旅行者: 关于喝酒…
温迪: 嗯~趁着那么好的节日，我早就喝到喝不下了。
温迪: 可没想到，「归风日」那天，大家又把压箱底的好酒翻出来。
温迪: 唔，闻着都让人陶醉。只好再撑一撑，再撑一撑…
温迪: 不瞒你说，最后，我还偷偷藏了两瓶哦？
旅行者: 先不打扰你了。
温迪: 去吧，我的朋友。这里发生的诗篇，风会一一记下。
