# Talk Dialog

迪奥娜: #旅行者，派蒙，你们怎么在这里开店呀？
派蒙: 哇，这不是迪奥娜吗？还有卖唱的！什么风把你们吹到这里来啦。
温迪: 你们在这边熬煮汤药的香味，我远在果酒湖的对岸也能闻到呀。诗人的鼻子可是很灵的。
迪奥娜: 又在胡说八道了…其实我们正在找调酒材料呢。
迪奥娜: 猫尾酒馆正在筹备新的推广活动，玛格丽特老板娘想让我构思一些全新的酒品。
迪奥娜: 这次也请了这家伙来驻场演唱，他看我要出门找材料，就自告奋勇要来帮忙了。
温迪: 这样我就能第一时间喝到小迪奥娜调出来的新酒了呀。
派蒙: 我就说怎么卖唱的这么积极，果然是跟喝酒有关系呢。
迪奥娜: 但是，蒙德附近各种稀奇古怪的材料基本都尝试过了，要再找到新的材料已经不太容易了…
迪奥娜: 这家伙看我有点烦恼，就说他有一个想法，要暂时分开行动一阵子。
迪奥娜: 我本来不抱太大希望，结果过了半天，他还真带回来了少见的东西…
派蒙: 哇，找到了什么稀奇的宝贝呀？快让我看看！
温迪: 嘿嘿，这是偶然掉落在雪山残垣之上的，飞鸟的羽毛哦。
温迪: 曾一度被风雪掩埋的飞羽，直到现在摸起来还有种冰凉的触感呢。
温迪: 如果放进酒里，肯定是前所未有的口感！
派蒙: 哇，真亏你能找到这样的东西…
迪奥娜: 可惜这个材料不太好拿到，现在这点量的话，说不定内部试饮的时候就要用完了。
温迪: 哎呀，总之先回去研发新品嘛，材料的事情我再想想办法。
迪奥娜: 我看你只是想趁早喝到酒吧！
温迪: 欸嘿，就当是工作的预付款了嘛。
迪奥娜: 可是问题根本就没解决嘛…
迪奥娜: #旅行者，派蒙，你们对新饮品有什么想法吗？
旅行者: 换一种思路如何？
迪奥娜: 嗯？要达成不一样的效果，不就只能在材料上花心思吗？
派蒙: #哦！我好像知道旅行者的意思了。
派蒙: 咳咳，现在在你面前的，正是蒙德城新晋炼金术士二人组，我们炼制的神奇药剂正在各国热销呢！
迪奥娜: 炼金药剂？那跟酒有什么关系呀。
派蒙: 比如，在酒里加入治疗药剂，就能调出能治愈人心的酒哦！
迪奥娜: 什么，炼金药剂居然能做到这种事吗？
旅行者: 治愈人心也太夸张了…
迪奥娜: 既然这样，能不能做出让人再也不想喝酒的药剂呀？
旅行者: 我尝试一下。
派蒙: 喂，不要给人不切实际的期待呀！
派蒙: 这种药剂根本做不出来吧！
迪奥娜: 这样啊，可惜…还以为终于能一举摧毁蒙德酒业了呢。
派蒙: 没关系，我们再想想别的办法嘛。
温迪: 之前我就有点好奇，小迪奥娜为什么不喜欢酒呀？
迪奥娜: 这还用说吗，看那帮酒鬼醉醺醺的样子，怎么喜欢得起来啦！
温迪: 所以你讨厌的其实不是酒，而是醉酒这件事吧。
温迪: 虽然听起来有点奇怪，但如果借助神奇的炼金术，有没有办法做出不会喝醉的酒呢？
派蒙: #不会喝醉？对哦！旅行者，能让人变精神的药剂，我们还是做得出来的吧？
旅行者: 只是提神醒脑的话…
迪奥娜: 哦！用这个药剂来调酒的话，那些酒鬼喝得越多，就会越清醒…
迪奥娜: 这下他们的酒鬼生涯，就要迎来终点了！
迪奥娜: #旅行者，那就拜托你帮我做一瓶能让人保持清醒的药剂吧！
温迪: 这样的酒喝起来是什么感受呢，连我也好奇起来了呢。
旅行者: 应该能行。
旅行者: 药效都是有时间限制的…
派蒙: 是呀，就算真能让人暂时不想喝酒，也只限于一小段时间而已啦。
旅行者: 常见的功效还是能做到的。
旅行者: 做出效果不一样的酒…
