# Talk Dialog

八重神子: 哎呀，小家伙，我就知道能在这里见到你。
旅行者: 神子居然过来了。
八重神子: 这么久不见，第一句就是这个吗？真叫人伤心。
八重神子: 身为宫司的我啊，可是常常坐在神樱树下，为你的旅途祈福呢。
八重神子: 啊，我明白了，你的心中已经有了兼具智慧与美貌的别的大人了吧？我给你的御守，你也早就丢掉了吧？
八重神子: 哎呀哎呀，我果然只是你旅途中的一位普通过客，哎呀哎呀…
旅行者: 神子还是那么会开玩笑。
派蒙: #神子果然还是老样子，不逗一逗旅行者就不舒服。
八重神子: #谁让他是那枚最亮眼的御神签呢？不翻开看看，让人怎么睡得好觉。
八重神子: 话说回来，这次我又发现了一枚有趣的御神签，你们应该也听说了吧。
八重神子: 这个荒泷生命摇滚虹色大巡回，好像是跟一只狗有关呢。
八重神子: 我立刻就想到了，那该不会是指那位木漏茶室的老板，太郎丸吧？
派蒙: 太…太郎丸？！太郎丸的身手好像确实很厉害！难道战争时期…是它在拯救小动物吗？
八重神子: 很有可能吧？茶室老板下班后立刻换装赶往战场拯救生命，多么有趣的轻小说主角呀。
八重神子: 照这样想，它所救下来的，就只是些小动物吗？
旅行者: 神子是不是知道什么？
八重神子: 我只是在胡乱猜测啦，小家伙，你知道的，我最喜欢这些事了。
八重神子: 真期待，这枚御神签翻开来，写的会是什么呢？
旅行者: 我永远都记得八重神子大人！
