# Talk Dialog

布蕾斯特: 总感觉前进的速度不够啊，如果能用某些装置为游客加速就好了，比如前置空泡发生器，再背上推进器…
旅行者: 你想把游客当炮弹打出去吗…
布蕾斯特: 嗯！毕竟是追求刺激的游乐项目嘛，越快当然越让人兴奋。
布蕾斯特: 不过，考虑到有在水下运用的场景，用「鱼雷」的比喻应当比炮弹更合适。
布蕾斯特: 当然，毕竟是娱乐项目，还是要考虑安全因素才行，所以还要给客人穿上靠谱的护具，发条机关装甲同款材料最好。
布蕾斯特: 还要加足够厚且柔软的缓冲层，用来消解意外撞击时的冲击力。
布蕾斯特: 感觉好像有点不对劲…真能达成设计指标的话，客人穿着这些装备…是不是都能一头撞晕猎刀鳐了？
旅行者: 要考虑成本哦。
布蕾斯特: 这么一说倒也没错，毕竟票价不贵，要把这些装备小型化到游客可以使用，需要的成本不容小觑…
布蕾斯特: 如果能调高这些装备的参数，让它们用于执法场景，进入执律庭采购装备的清单，就能分摊一笔钱，有效压低成本了。
布蕾斯特: 呃，不对…民用娱乐项目的装备，找执律庭分摊单位成本…好像两边的主次搞反了？
旅行者: 你继续琢磨，我不干扰你了。
布蕾斯特: 啊…有结论的话，我会给你报告的！毕竟你是老板，一切都要你首肯才行！
