# Talk Dialog

「弯刀大叔」: 哎，这不是迪希雅的朋友吗？这次轮到你当我的老板了？
    Option 1:
        旅行者: 合作愉快！
        「弯刀大叔」: 合作愉快——我也想这么说！不过，说不定我会因为个人习惯…不小心犯错。
        「弯刀大叔」: 比如扮演反派时太投入，舞刀舞得张牙舞爪，让客人过度紧张…以前我哄小孩的时候，就给人家吓哭了。
        「弯刀大叔」: 如果发生了这种事，还请多多包涵啊！
    Option 2:
        旅行者: 我们好像见过…
        「弯刀大叔」: 是吗？是吧！
        「弯刀大叔」: 你可是大名人，四处活动得相当勤快，我好几次看到过你，不过你应该没有特别留意过我。
        「弯刀大叔」: 有一次，还不知道你是迪希雅的朋友时，和你过了两招，被你咔咔打趴下了，不知道那回有没有给你留下轻伤什么的…
        「弯刀大叔」: 请别介意啊，现在我们是一边的了！
    Option 3:
        旅行者: 一起发财！
        「弯刀大叔」: 好，我会勤勤恳恳上工的！
