# Talk Dialog

迪希雅: 来啦！
迪希雅: 我为你点了一杯「雾道日出」，基底是泡泡桔果汁，辅料是海露花和月莲的提取物。
迪希雅: 给派蒙选的是「云顶酣睡」——牛奶和游韵单丛茶的特调，顶上铺了一层发泡奶油和糖霜。
派蒙: 听起来都很好喝！
派蒙: 不过，怎么感觉迪希雅第一次来这家酒吧，就对这里非常熟悉？点的东西听得我云里雾里？
旅行者: 换成我们就不知道该点什么了。
迪希雅: 啊哈，干我们这行的，必须习惯和陌生的事物打交道，快速融入新环境嘛。
迪希雅: 虽然提瓦特各地的酒馆有着不同的规矩，但和酒保的谈话也有公式可以照搬。
迪希雅: 话说回来，内容稳定的工作让人有边界感和安全感，长时间这样会很无趣。
迪希雅: 相比之下，和你们在一起时，总能做些预料之外的事，让人充满期待和干劲。
旅行者: 应该还好吧…我们很老实！
迪希雅: 最近遇上了什么新鲜事吗？和我分享一下？
派蒙: 该从哪说起呢？好像仔细想想，每件事都挺神奇的…
黑屏文本: 和迪希雅闲聊了最近的经历…
迪希雅: 啊呀，你们接过的差事，个个都不简单，换成佣兵来开价，一单就抵得上有些商人半年的收入。
迪希雅: 我说啊，要不然，你也试试兼职佣兵接单？
迪希雅: 有时，「炽光猎兽」会收到一些远得夸张的单子，没必要便宜外人。
派蒙: 咦？我们俩也能成为佣兵吗？
旅行者: 佣兵这个身份听起来倒也不错。
迪希雅: #没冲突嘛！我听说过旅行者还是蒙德的荣誉骑士，多一重身份就多一份机会，走到哪儿都方便。
迪希雅: 再说了，你们这种顶级强者，难道还怕别人强塞你们任务吗？合适就拿下，不合适就拒绝，自由自在！
派蒙: 好像也很有道理…仔细一想，和一些冒险委托也没什么差别。
派蒙: 说不定还有那种既能帮到许多人，还能赚到大笔摩拉的工作？同时，也能和迪希雅熟悉的「镀金旅团」朋友搞好关系！
旅行者: 可以试试看。
迪希雅: 爽快！那之后回去，我就和兄弟姐妹们聊聊，争取优先介绍干净多金的差事给你！
迪希雅: 具体来说，还要定一个分配范围，这个我回去就商量清楚！
黑屏文本: 和迪希雅边喝边聊，相当尽兴，离去前，你们相约一段时间后在「海薇玛映影欢乐城」再见…
旅行者: 「炽光猎兽」合作伙伴！
旅行者: 不过我已经有冒险家的头衔了哦。
旅行者: 确实…有些遭遇真的离谱。
旅行者: 根本想不到这么奇妙的饮料。
