# Talk Dialog

琳妮特: 林尼，我回来了。
琳妮特: 「海薇玛映影欢乐城」很有趣哦，还有许多小动物，别再一直钻研恐怖映影了。
林尼: 呼啊~乐园有意思就好，可我的当务之急是找到状态，拍好这部魔术映影，暂时就不考虑动物助手的事了…
林尼: 容我再睡会儿，恢复精力…
林尼: 不行！一闭眼就想到精彩的诡计，但又好困…睡不着，醒不来…
    Option 1:
        旅行者: 那不如散散心？
    Option 2:
        旅行者: 可以和可爱动物一起玩~
派蒙: 对哦，林尼！出来转换下心情，就不会再胡思乱想啦！
林尼: #等等…旅行者和派蒙也在吗！
琳妮特: #他们是那座乐园的管理者，我也即将成为一个项目的顾问哦。
林尼: 那我确实要到场！不止为了自己，也是对两位好朋友的支持！
林尼: 请等我一段时间，我得好好整理仪容仪表…
琳妮特: #果然，旅行者对林尼的吸引力毋庸置疑，处于最高等级呢。
    Option 1:
        旅行者: 那是当然！
    Option 2:
        旅行者: 毕竟是我！
琳妮特: 不知道哥哥洗漱穿戴需要多长时间，不如，我们就在会场碰头吧？
派蒙: 嗯！能让林尼提起精神，找到来乐园逛逛的动力，就是我们这趟最大的收获！
