# Talk Dialog

芙宁娜: #嗯哼~旅行者和派蒙，我远远就能感受到你们身上洋溢的热情。
芙宁娜: 简直就像…正在诵唱美妙高音的歌剧演员！
派蒙: 芙宁娜，总算等到你了！
    Option 1:
        旅行者: 关键明星登场~
    Option 2:
        旅行者: 气氛达到最热点！
芙宁娜: 看见你们为我的到来而鼓舞，我也十分欣喜。
芙宁娜: 不过，这次的主角不是我，是你们，是热爱映影与创作，并用行动将这些乐趣分享给大家的人们。
芙宁娜: 说实话，最初被问到授权时，我以为这个活动最多只有一个小型展演的规模。
芙宁娜: 没想到，「海薇玛映影欢乐城」竟然能在短时间内建设到这种程度…
派蒙: 唔，想想刚开始来到这里的样子，好像…确实很快就建成了厉害的乐园！
芙宁娜: 按这种漂亮的势头继续发展，说不定，它能成为类似「千灵映影节」那样的重要庆典！
芙宁娜: 对此，你们可谓功勋卓著！
芙宁娜: 我正向多位知名导演提议，联合赠予你们「映影业界先锋」的荣誉。
芙宁娜: 相较于大众层面的「芙宁娜奖」，这项荣誉更偏向业内人士的认可，是绝对功劳与苦劳相融合的冠冕！
    Option 1:
        旅行者: 多谢鼓励！还有提升空间。
    Option 2:
        旅行者: 接了荣誉，还得继续努力！
派蒙: 哇啊，你也正经起来了…
芙宁娜: 不用严肃啦，放松放松，拿出轻快的心情！
芙宁娜: 我准备一段时间，接下来，我们随机抽选一批客人，了解一下在「海薇玛映影欢乐城」游览的体验，如何？
派蒙: 咦，用户调查这种事，也需要芙宁娜来做吗？
芙宁娜: 怎么说，也是冠上了海薇玛夫人大名的活动，由我代她调查情况，很合理吧？
芙宁娜: 而且，越是知名的明星，越应该务实点嘛。
芙宁娜: 多听听大家对映影相关事物的看法，对提升自己的能力也很有帮助！
派蒙: 原来明星不是我想的那样，所有事都有助手处理得妥妥当当…还是挺辛苦的呀。
派蒙: 不对，说不定，是芙宁娜本来就不能用常理来考量？
