# Talk Dialog

埃德勒: #啊，是旅行者准领队！听夜兰小姐说，您也加入这次行动了…
埃德勒: 那一切稳得不能再稳了，「黑钱领主」和他最后的几个部下都该洗好脖子，乖乖等死！
旅行者: 你回来了？好快！
埃德勒: 毕竟只是帮夜兰小姐引开那帮家伙的注意力嘛，任务不重，时间要求其实挺宽松的。
埃德勒: 科德和多达马尼那俩厮，跟得很紧，见我和沃特蒙泰涅坐下吃甜点，好几个小时没动弹，就假装是观光买茶的游客。
埃德勒: 我提前和沃特蒙泰涅打好了招呼，让她告诉附近的店家，给那些坏人狠狠加价，店家就随手多写了两个零。
埃德勒: 结果那两家伙，为了不显得自己可疑，还真掏钱买了，给我和沃特蒙泰涅乐开了花！
埃德勒: 给翘英庄的乡亲们增加一点营收，也算是给他们赔个不是。毕竟，引着犯人到处逛，到了他们庄里，多少有点晦气。
埃德勒: 那就用钱财补偿尽可能除掉这股晦气好了。
旅行者: 感觉你说话的方式很璃月。
埃德勒: 啊哈，那说明我做的功课还算到位，天赋也还不错。
埃德勒: 四年级做同桌的时候，沃特蒙泰涅就说过，我学老师说话的腔调可像了！这天赋倒是给我的工作带来了不少好处…
埃德勒: 「干探员这行的，理应走到哪，就融入当地的氛围。和孩子们说话就可爱点，和璃月友人说话就文雅礼貌，或者接地气…」
埃德勒: 「和罪犯们聊天，就该粗暴用词不离口，骂脏点。」
埃德勒: 格罗里夏尔队长的原话如是说。
埃德勒: 话说回来，我还没听过他骂人呢。这次押送犯人回去以后，说不定就有机会见识队长最有攻击性，最狂野的粗口了。
埃德勒: 真期待啊！
旅行者: 你的用词有股亲切感…
旅行者: 不要说这种反派一样的话…
埃德勒: 没事没事，我在孩子们面前会学着童话书里的口吻讲故事，不会教坏他们的。在正式执行公务的时候，也会注意语气！
埃德勒: 对付穷凶极恶的罪犯，必须在狠劲上压倒他们，这样才不会被他们的气焰压制。
埃德勒: 我不介意成为罪犯们口中的「刽子手」、「断头台」。不过，这么威风的称呼，还是留给您这种大人物比较好。
埃德勒: 您也来试着恶狠狠地说话吧！
旅行者: 那…我以后多凶凶坏人？
埃德勒: 好呀好呀，多凶多凶！
埃德勒: 以你的实力和威望，对着恶棍随便凶一下，他们都会吓到丢魂吧！
