# Talk Dialog

派蒙: #嘿嘿，旅行者，我回来啦！
派蒙: 我跟着埃德勒警官，好好审讯了那些坏人…感觉，学到了不少新本领！
    Option 1:
        旅行者: 玩得开心吗？
        派蒙: 嗯！让坏家伙们说出自己作案的动机，然后后悔认错的感觉，像是给不好的事情划上了一个句号，挺有意思的！
        派蒙: 你和夜兰呢？夜兰好好享受了假期嘛？
        旅行者: 我们也玩得很尽兴。
        派蒙: 以前还没有什么概念，现在仔细一想，夜兰还真是个大忙人啊！
        派蒙: 能把这——么——多的坏家伙揪出来，抓起来，还表现得悠悠哉哉，不怎么累…
        派蒙: 唔…下次见面的时候，我也问问看好了，能不能和她学学安排时间，保持活力的秘诀好了。
        旅行者: 最近你好上进欸！
        派蒙: 欸嘿嘿，只是想多多帮你的忙而已啦！
        派蒙: 你一直在变强，我也要努力一点才行嘛！
    Option 2:
        旅行者: 有用力凶坏人吗？
        派蒙: 有，有吧？
        派蒙: 我的额头有点酸，一定是扮凶脸太久，眼睛瞪太大了！
        派蒙: #那些家伙一发现，我是旅行者最好最好的伙伴，全都吓得不轻，叽里咕噜老实交代了。
        旅行者: 那我以后也凶一点…
        派蒙: 唔…想象了一下，好像想象不出来…
        派蒙: #毕竟旅行者一直很温和嘛，最凶最凶的时候都不吓人，和我说话的时候都慢悠悠的~
        派蒙: 面对一般的坏家伙，你也不可能真的特别特别生气，到动真格发火…大凶特凶的程度吧？
        派蒙: 我们也算是见识过大风大浪了，心胸开阔，不和一般坏蛋们一般见识！
        旅行者: 也对，不和一般坏家伙计较！
        派蒙: 有了这次的经验，接下来的冒险，我们肯定会更得心应手啦！
        派蒙: #希望不管遇见什么情况，旅行者都要从从容容，不慌不忙…
        派蒙: 这样，我也能安安心心，我们都能在打败坏家伙后开开心心！
    Option 3:
        旅行者: 玩得开心吗？
        派蒙: 嗯！让坏家伙们说出自己作案的动机，然后后悔认错的感觉，像是给不好的事情划上了一个句号，挺有意思的！
        派蒙: 你和夜兰呢？夜兰好好享受了假期嘛？
        旅行者: 约好在挪德卡莱再见。
        派蒙: 以前还没有什么概念，现在仔细一想，夜兰还真是个大忙人啊！
        派蒙: 能把这——么——多的坏家伙揪出来，抓起来，还表现得悠悠哉哉，不怎么累…
        派蒙: 唔…下次见面的时候，我也问问看好了，能不能和她学学安排时间，保持活力的秘诀好了。
        旅行者: 最近你好上进欸！
        派蒙: 欸嘿嘿，只是想多多帮你的忙而已啦！
        派蒙: 你一直在变强，我也要努力一点才行嘛！
    Option 4:
        旅行者: 有用力凶坏人吗？
        派蒙: 有，有吧？
        派蒙: 我的额头有点酸，一定是扮凶脸太久，眼睛瞪太大了！
        派蒙: #那些家伙一发现，我是旅行者最好最好的伙伴，全都吓得不轻，叽里咕噜老实交代了。
        旅行者: 变成超绝恐怖大王…
        派蒙: 唔…想象了一下，好像想象不出来…
        派蒙: #毕竟旅行者一直很温和嘛，最凶最凶的时候都不吓人，和我说话的时候都慢悠悠的~
        派蒙: 面对一般的坏家伙，你也不可能真的特别特别生气，到动真格发火…大凶特凶的程度吧？
        派蒙: 我们也算是见识过大风大浪了，心胸开阔，不和一般坏蛋们一般见识！
        旅行者: 也对，不和一般坏家伙计较！
        派蒙: 有了这次的经验，接下来的冒险，我们肯定会更得心应手啦！
        派蒙: #希望不管遇见什么情况，旅行者都要从从容容，不慌不忙…
