# Talk Dialog

达尔维什: 怎么样，要来进行「伙伴冒险大战记」的测试吗？
旅行者: 重新学习教程…
达尔维什: 嗯，重新巩固已经学习的知识也是非常重要的事…那么，就让我打开一下教学用的地图和棋盘吧！
旅行者: 关于「伙伴冒险大战记」…
达尔维什: 哦，你是想问为什么产生了这样的想法？首先是因为做跨学科的课题研究本身已经很复杂了，不如做点有意思的。
达尔维什: 而且如果形式本身得到验证，以后引入更准确的信息和数据，即使是「模拟」出来的情况也能够当实际的战斗环境的参考。
达尔维什: 对「三十人团」应该也能够有帮助吧…
达尔维什: 这可不是个玩玩的项目，我还是很认真的哦。
旅行者: 关于编纂的故事背景…
达尔维什: 你是说编纂的冒险故事吗…哈哈，我们毕竟是教令院的学者，当然还是拿须弥的故事当原型比较有趣…
达尔维什: 而且，也有前两天，在院内和一位因论派的学弟聊天得到的灵感，我说说不定能够用到和他谈话里的内容…
达尔维什: 他就点头说「可以可以可以，到时候有成品了一定要拿来给我看看啊！」
达尔维什: 真是很有活力的人呢。
旅行者: 关于阿塔希耶和法德瓦…
达尔维什: 嗯，阿塔希耶和我是一辈的，法德瓦入学比我们要晚一些…
达尔维什: 别看阿塔希耶平时毛手毛脚，可一旦进入手工作业的领域，没人比他更可靠啦，你看，这些「模拟养成」用到的棋子和棋盘…
达尔维什: 说到法德瓦…唉，每次看到她的时候都在和别人争吵数字的细节，不过她不是个脾气坏的人，只是对待数字很认真。
达尔维什: 大概是因为她每次和人吵起来的时候我都愿意帮她调解…所以我们才能成为朋友吧。
旅行者: 不，之后再说吧…
达尔维什: 好吧，好吧。
