# Talk Dialog

法德瓦: 唔…唔…既然是前辈给我的工作，可不能懈怠啊…呀！咦，是参与测试的，怎、怎么了，为什么突然靠那么近…
旅行者: 关于达尔维什…
法德瓦: 咦…咦为什么突然问达尔维什前辈的事，你也很好奇吗，嘿…嘿，那也没办法，毕竟达尔维什前辈很可靠嘛…
法德瓦: 而且，看上去也很喜欢小孩子，呜…哎呀，真希望你能看看他在给孩子们讲学的样子…啊！不行！不行！
法德瓦: 给孩子们讲学的达尔维什前辈只能属于我，只能属于我！你不许去看，不许去看哦！
法德瓦: …呼呼…呼呼…抱歉，有点激动了。
法德瓦: …唉，我就是这样…所以朋友很少，你、你不会也在心里觉得我…我很可笑吧…
法德瓦: 就算你觉得我可笑也没办法…但是就是这样的我，达尔维什前辈也愿意为我说话！
旅行者: 关于「伙伴冒险大战记」的测试…
法德瓦: 哼哼，你是说我负责的「模拟养成」的模型，这都是我经过精密的计算建立的…
法德瓦: 唔，要不是…要不是叫阿塔希耶的那个家伙给的数字很随便，我一定能更好地完成这个工作…
法德瓦: 真是的，能、能够和达尔维什前辈一起做课题，那个、那个胖胖的家伙，难道没有意识到是多难得的机会吗！
法德瓦: …唉，这样说不太好，他也做了很多事，达尔维什前辈总是说我太苛求别人了，这样可不行。
法德瓦: 虽然看到他提交的报告还是让人感到火大…
旅行者: 靠得太近了吗？我这就离开…
法德瓦: 啊，不是，我不是这个意思…唔，但是，谢谢你、谢谢你…的包涵…
